element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Na	2	"332.7689"	"0.0003"	"332.7689"	"0.0010"	"950"	"9.45e+07"	B	"37.258133"	"40.982896"	"2s2.2p5.3p"	"3P"	"1"	"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"0"	3	1		"T6036"	"L914"	
Na	8	""	""	"334.1"	"1.6"	""	"2.04e+07"	B	"224.807"	"228.517"	"1s2.2p.4p"	"1P"	"1"	"1s2.2p.4d"	"1P*"	"1"	3	3		"T5633c3"	""	
Na	2	"340.0093"	"0.0003"	"340.0098"	"0.0010"	"200"	"1.24e+06"	C+	"33.322360"	"36.967803"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"3D"	"1"	3	3		"T7663"	"L914"	
Na	7	""	""	"340.5"	"1.6"	""	"9.85e+07"	A	"161.982"	"165.622"	"2s.2p.(1P*).3d"	"2P*"	"3/2"	"2s2.4d"	"2D"	"5/2"	4	6		"T7192c3,LS"	""	
Na	7	""	""	"340.7"	"1.6"	""	"8.18e+07"	A	"161.982"	"165.619"	"2s.2p.(1P*).3d"	"2P*"	"1/2"	"2s2.4d"	"2D"	"3/2"	2	4		"T7192c3,LS"	""	
Na	7	""	""	"340.7"	"1.6"	""	"1.64e+07"	B+	"161.982"	"165.619"	"2s.2p.(1P*).3d"	"2P*"	"3/2"	"2s2.4d"	"2D"	"3/2"	4	4		"T7192c3,LS"	""	
Na	1	"341.62"	"0.02"	"341.607"	"0.011"	""	"1.5e+07"	D	"32.7002"	"36.3286"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"3/2"	4	4		"T5209"	"L6269"	
Na	1	"342.73"	"0.02"	"342.736"	"0.011"	"9"	"2.8e+07"	D	"32.7002"	"36.3167"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4F*"	"5/2"	4	6		"T5209"	"L6269"	
Na	7	""	""	"344.8"	"1.7"	""	"1.34e+07"	B+	"177.620?"	"181.214"	"2s.2p.(3P*).4s"	"2P*"	"3/2"	"2s2.5d"	"2D"	"5/2"	4	6		"T7192c3,LS"	""	
Na	7	""	""	"345.7"	"1.7"	""	"2.22e+06"	C+	"177.620?"	"181.205"	"2s.2p.(3P*).4s"	"2P*"	"3/2"	"2s2.5d"	"2D"	"3/2"	4	4		"T7192c3,LS"	""	
Na	2	"346.2491"	"0.0003"	"346.2494"	"0.0010"	"450"	"3.61e+06"	B	"33.322360"	"36.902113"	"2s2.2p5.3s"	"1P*"	"1"	"2s2.2p5.3p"	"3D"	"2"	3	5		"T7663"	"L914"	
Na	5	""	""	"347.6"	"0.9"	""	"2.55e+05"	D	"125.331"	"128.896?"	"2s.2p3.(3D*).3d"	"2F*"	"7/2"	"2s2.2p2.(1D).5d"	"2D"	"5/2"	8	6		"u21,LS"	""	
Na	1	"348.90"	"0.02"	"348.890"	"0.009"	"130"	"4.2e+07"	D	"32.7002"	"36.2529"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).3d"	"4D*"	"5/2"	4	6		"T5209"	"L6269"	
Na	4	""	""	"349.77"	"0.17"	""	"8.03e+05"	C	"75.9541?"	"79.4978"	"2s2.2p3.(2P*).3p"	"1D"	"2"	"2s2.2p3.(2D*).3d"	"1P*"	"1"	5	3		"T7663c11"	""	
