obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
"367.381"	"0.003"	"367.37649"	"0.00019"	"1300"	"1.0777e+03"	AAA	"10.1988358"	"[13.57272894]"	"2"	""	""	"23"	""	""	8	1058		"T8637"	"L7400c29"	
"367.6376"	"0.0006"	"367.63692"	"0.00019"	"1400"	"1.3467e+03"	AAA	"10.1988358"	"[13.57033894]"	"2"	""	""	"22"	""	""	8	968		"T8637"	"L7436c29"	
"367.9370"	"0.0006"	"367.93589"	"0.00019"	"1700"	"1.7005e+03"	AAA	"10.1988358"	"[13.56759946]"	"2"	""	""	"21"	""	""	8	882		"T8637"	"L7436c29"	
"368.2823"	"0.0006"	"368.28143"	"0.00019"	"1700"	"2.1719e+03"	AAA	"10.1988358"	"[13.56443886]"	"2"	""	""	"20"	""	""	8	800		"T8637"	"L7436c29"	
"368.6831"	"0.0006"	"368.68376"	"0.00019"	"2000"	"2.8093e+03"	AAA	"10.1988358"	"[13.56076619]"	"2"	""	""	"19"	""	""	8	722		"T8637"	"L7436c29"	
"369.1551"	"0.0006"	"369.15611"	"0.00019"	"2300"	"3.6851e+03"	AAA	"10.1988358"	"[13.55646454]"	"2"	""	""	"18"	""	""	8	648		"T8637"	"L7436c29"	
"369.7157"	"0.0006"	"369.71581"	"0.00019"	"2300"	"4.9101e+03"	AAA	"10.1988358"	"[13.55138166]"	"2"	""	""	"17"	""	""	8	578		"T8637"	"L7436c29"	
"370.3859"	"0.0006"	"370.38593"	"0.00019"	"2800"	"6.6583e+03"	AAA	"10.1988358"	"[13.54531624]"	"2"	""	""	"16"	""	""	8	512		"T8637"	"L7436c29"	
"371.1978"	"0.0006"	"371.19774"	"0.00019"	"3300"	"9.2102e+03"	AAA	"10.1988358"	"[13.53799772]"	"2"	""	""	"15"	""	""	8	450		"T8637"	"L7436c29"	
"372.1946"	"0.0006"	"372.19449"	"0.00019"	"5000"	"1.3032e+04"	AAA	"10.1988358"	"[13.52905552]"	"2"	""	""	"14"	""	""	8	392		"T8637"	"L7436c29"	
"373.4369"	"0.0006"	"373.43746"	"0.00020"	"6000"	"1.8927e+04"	AAA	"10.1988358"	"[13.51797128]"	"2"	""	""	"13"	""	""	8	338		"T8637"	"L7436c29"	
"375.0151"	"0.0006"	"375.01584"	"0.00020"	"8000"	"2.8337e+04"	AAA	"10.1988358"	"13.50400193"	"2"	""	""	"12"	""	""	8	288		"T8637"	"L7436c29"	
"377.0633"	"0.0006"	"377.06368"	"0.00020"	"9000"	"4.3972e+04"	AAA	"10.1988358"	"13.48605194"	"2"	""	""	"11"	""	""	8	242		"T8637"	"L7436c29"	
"379.7909"	"0.0006"	"379.79044"	"0.00020"	"17000"	"7.1225e+04"	AAA	"10.1988358"	"13.46245155"	"2"	""	""	"10"	""	""	8	200		"T8637"	"L7436c29"	
"383.5397"	"0.0006"	"383.53909"	"0.00021"	"30000"	"1.2156e+05"	AAA	"10.1988358"	"13.43055424"	"2"	""	""	"9"	""	""	8	162		"T8637"	"L7436c29"	
"388.9064"	"0.0006"	"388.90557"	"0.00021"	"70000"	"2.2148e+05"	AAA	"10.1988358"	"13.38596103"	"2"	""	""	"8"	""	""	8	128		"T8637"	"L7436c29"	
"397.0075"	"0.0006"	"397.00788"	"0.00022"	"30000"	"4.3889e+05"	AAA	"10.1988358"	"13.32091817"	"2"	""	""	"7"	""	""	8	98		"T8637"	"L7436c29"	
""	""	"410.1702284"	"0.0000021"	""	"4.2877e+06"	AAA	"10.19880615024"	"[13.22070313941]"	"2p"	"2P*"	"1/2"	"6d"	"2D"	"3/2"	2	4		"T8637"	""	
""	""	"410.1704339"	"0.0000021"	""	"2.4501e+05"	AAA	"10.19880615024"	"13.22070162532"	"2p"	"2P*"	"1/2"	"6s"	"2S"	"1/2"	2	2		"T8637"	""	
""	""	"410.1708218"	"0.0000021"	""	"2.8583e+06"	AAA	"10.19881052514816"	"[13.22070314214]"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"	2	4		"T8637"	""	
""	""	"410.1710499"	"0.0000021"	""	"2.8584e+06"	AAA	"10.19881052514816"	"[13.22070146198]"	"2s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"	2	2		"T8637"	""	
"410.1734"	"0.0006"	"410.17415"	"0.00024"	"70000"	"9.7320e+05"	AAA	"10.1988358"	"13.22070389"	"2"	""	""	"6"	""	""	8	72		"T8637"	"L7436c29"	
""	""	"410.1763100"	"0.0000021"	""	"5.1450e+06"	AAA	"10.19885151459"	"13.22070369934"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"5/2"	4	6		"T8637"	""	
""	""	"410.1763860"	"0.0000021"	""	"8.5748e+05"	AAA	"10.19885151459"	"[13.22070313941]"	"2p"	"2P*"	"3/2"	"6d"	"2D"	"3/2"	4	4		"T8637"	""	
""	""	"410.1765915"	"0.0000021"	""	"4.9006e+05"	AAA	"10.19885151459"	"13.22070162532"	"2p"	"2P*"	"3/2"	"6s"	"2S"	"1/2"	4	2		"T8637"	""	
""	""	"434.0426937"	"0.0000022"	""	"7.8548e+06"	AAA	"10.19880615024"	"13.054501074"	"2p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"	2	4		"T8637"	""	
""	""	"434.0430904"	"0.0000023"	""	"4.2955e+05"	AAA	"10.19880615024"	"[13.054498464]"	"2p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"	2	2		"T8637"	""	
""	""	"434.0433568"	"0.0000023"	""	"4.9483e+06"	AAA	"10.19881052514816"	"13.054501086"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"	2	4		"T8637"	""	
""	""	"434.0437982"	"0.0000023"	""	"4.9484e+06"	AAA	"10.19881052514816"	"13.054498182"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"	2	2		"T8637"	""	
"434.0472"	"0.0006"	"434.0471"	"0.0003"	"90000"	"2.5304e+06"	AAA	"10.1988358"	"13.0545017"	"2"	""	""	"5"	""	""	8	50		"T8637"	"L7436c29"	
""	""	"434.0494419"	"0.0000022"	""	"9.4254e+06"	AAA	"10.19885151459"	"[13.054502042]"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"	4	6		"T8637"	""	
""	""	"434.0495889"	"0.0000022"	""	"1.5709e+06"	AAA	"10.19885151459"	"13.054501074"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"	4	4		"T8637"	""	
""	""	"434.0499857"	"0.0000023"	""	"8.5920e+05"	AAA	"10.19885151459"	"[13.054498464]"	"2p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"	4	2		"T8637"	""	
""	""	"486.1278624"	"0.0000024"	""	"1.7188e+07"	AAA	"10.19880615024"	"12.7485381084"	"2p"	"2P*"	"1/2"	"4d"	"2D"	"3/2"	2	4		"T8637"	""	
"486.1286949"	"0.0000024"	"486.1286949"	"0.0000024"	""	"9.6680e+06"	AAA	"10.19881052514816"	"12.74853811674"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"	2	4		"T8637"	"L9477"	
""	""	"486.1288370"	"0.0000024"	""	"8.5941e+05"	AAA	"10.19880615024"	"12.74853299663"	"2p"	"2P*"	"1/2"	"4s"	"2S"	"1/2"	2	2		"T8637"	""	
