element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cl	1	"472.1255"	"472.1255"	"40"	"2.1e+05"	D+	"9.2028320"	"11.8281832"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4D*"	"5/2"	4	6		"T1277,T694"	"L298"	
Cl	2	""	"473.9352"	""	"4.5e+05"	E	"15.626167"	"18.241494"	"3s2.3p3.(2D*).3d"	"3F*"	"2"	"3s2.3p3.(2D*).4p"	"3F"	"3"	5	7		"T1619CA,LS"	""	
Cl	1	"474.0729"	"474.0729"	"45"	"4.2e+05"	D+	"9.2028320"	"11.8173988"	"3s2.3p4.(3P).4s"	"2P"	"3/2"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"	4	4		"T1277,T694"	"L298"	
Cl	2	""	"475.5576"	""	"5.0e+06"	E	"15.626167"	"18.232572"	"3s2.3p3.(2D*).3d"	"3F*"	"2"	"3s2.3p3.(2D*).4p"	"3F"	"2"	5	5		"T1619CA,LS"	""	
Cl	2	""	"476.5225"	""	"3.5e+05"	E	"15.649377"	"18.250504"	"3s2.3p3.(2D*).3d"	"3F*"	"3"	"3s2.3p3.(2D*).4p"	"3F"	"4"	7	9		"T1619CA,LS"	""	
Cl	2	"476.865"	"476.8651"	"4300"	"7.7e+07"	D	"17.085785"	"19.685043"	"3s2.3p3.(2P*).4s"	"3P*"	"1"	"3s2.3p3.(2P*).4p"	"3D"	"2"	3	5		"T1619CA,LS"	"L1617"	
Cl	2	""	"477.1072"	""	"5.7e+07"	D	"17.081522"	"19.679461"	"3s2.3p3.(2P*).4s"	"3P*"	"0"	"3s2.3p3.(2P*).4p"	"3D"	"1"	1	3		"T1619CA,LS"	""	
Cl	2	""	"477.1667"	""	"1.0e+08"	D	"17.187276"	"19.784891"	"3s2.3p3.(2P*).3d"	"1D*"	"2"	"3s2.3p3.(2P*).4p"	"1P"	"1"	5	3		"T1619CA"	""	
Cl	2	""	"477.8913"	""	"4.3e+07"	D	"17.085785"	"19.679461"	"3s2.3p3.(2P*).4s"	"3P*"	"1"	"3s2.3p3.(2P*).4p"	"3D"	"1"	3	3		"T1619CA,LS"	""	
Cl	2	"478.132"	"478.1320"	"13000"	"1.0e+08"	D	"17.094863"	"19.687234"	"3s2.3p3.(2P*).4s"	"3P*"	"2"	"3s2.3p3.(2P*).4p"	"3D"	"3"	5	7		"T1619CA,LS"	"L1617"	
