element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Bi	1	"472.2528"	"0.0004"	"472.2527+"	"0.0003"	"11000"	"9.4e+06"	B	"1.4157804"	"4.0404245"	"6p3"	"2D*"	"3/2"	"6p2.(3P<0>).7s"	"2[0]"	"1/2"	4	2		"T6498"	"L6416"	
Bi	3	"472.873"	"0.007"	"472.883"	"0.003"	"120hfs"	"1.8e+06"	D+	"14.433534"	"17.054681"	"6s.6p2.(1D)"	"2D"	"5/2"	"6s2.5f"	"2F*"	"5/2"	6	6		"T10236"	"L3331,L21488"	
Bi	3	"475.134"	"0.007"	"475.128"	"0.003"	"440hfs"	"2.7e+07"	C	"14.433534"	"17.042296"	"6s.6p2.(1D)"	"2D"	"5/2"	"6s2.5f"	"2F*"	"7/2"	6	8		"T10236"	"L3331,L21488"	
Bi	3	"479.750"	"0.020"	"479.742"	"0.005"	"560w"	"6.e+07"	D+	"11.921662"	"14.505333"	"6s2.6d"	"2D"	"3/2"	"6s2.7p"	"2P*"	"1/2"	4	2		"T10236"	"L3331,L21488"	
Bi	3	"505.182"	"0.007"	"505.178"	"0.007"	"170*"	"1.0e+06"	C	"20.61046"	"23.06405"	"6s2.5g"	"2G"	"9/2"	"6s2.7h"	"2H*"	"9/2"	10	10		"T10236"	"L3331,L21488"	
Bi	3	"505.182"	"0.007"	"505.178"	"0.007"	"170*"	"4.6e+07"	C	"20.61046"	"23.06405"	"6s2.5g"	"2G"	"9/2"	"6s2.7h"	"2H*"	"11/2"	10	12		"T10236"	"L3331,L21488"	
Bi	3	"505.243"	"0.007"	"505.244"	"0.007"	"120"	"4.6e+07"	C	"20.61079"	"23.06405"	"6s2.5g"	"2G"	"7/2"	"6s2.7h"	"2H*"	"9/2"	8	10		"T10236"	"L3331,L21488"	
Bi	3	"507.940"	"0.020"	"507.928"	"0.005"	"890w"	"7.5e+07"	C	"12.701719"	"15.142017"	"6s2.6d"	"2D"	"5/2"	"6s2.7p"	"2P*"	"3/2"	6	4		"T10236"	"L3331,L21488"	
Bi	1	"613.482"	"0.012"	"613.4738+"	"0.0005"	"60"	"1.74e+06"	D+	"4.1119118"	"6.1323713"	"6p3"	"2P*"	"3/2"	"6p2.(3P<2>).7s"	"2[2]"	"3/2"	4	4		"T3401,T3485"	"L7394"	
Bi	3	"613.920"	"0.020"	"613.907"	"0.011"	"22"	"3.0e+06"	D+	"20.108303"	"22.12734"	"6s2.6f"	"2F*"	"7/2"	"6s2.6g"	"2G"	"7/2"	8	8		"T10236"	"L3331,L21488"	
Bi	3	"614.040"	"0.007"	"614.039"	"0.007"	"150"	"8.5e+07"	C	"20.108303"	"22.12690"	"6s2.6f"	"2F*"	"7/2"	"6s2.6g"	"2G"	"9/2"	8	10		"T10236"	"L3331,L21488"	
Bi	3	"616.060"	"0.020"	"616.071"	"0.011"	"120"	"8.3e+07"	C	"20.115395"	"22.12734"	"6s2.6f"	"2F*"	"5/2"	"6s2.6g"	"2G"	"7/2"	6	8		"T10236"	"L3331,L21488"	
Bi	3	"662.323"	"0.007"	"662.323"	"0.006"	"180"	"1.2e+08"	C	"19.118227"	"20.989669"	"6s2.8p"	"2P*"	"1/2"	"6s2.8d"	"2D"	"3/2"	2	4		"T10236"	"L3331,L21488"	
Bi	3	"738.29"	"0.12"	"738.230"	"0.013"	"20wbl(Bi II)"	"1.8e+06"	D+	"13.463000"	"15.142017"	"6s.6p2.(1D)"	"2D"	"3/2"	"6s2.7p"	"2P*"	"3/2"	4	4		"T10236"	"L3331,L21488"	
Bi	3	"755.24"	"0.06"	"755.25"	"0.03"	"87"	"9.1e+07"	C	"19.393686"	"21.03486"	"6s2.8p"	"2P*"	"3/2"	"6s2.8d"	"2D"	"5/2"	4	6		"T10236"	"L3331,L21488"	
Bi	3	"759.98"	"0.06"	"759.964"	"0.020"	"200"	"1.0e+08"	C	"18.48439"	"20.115395"	"6s2.7d"	"2D"	"3/2"	"6s2.6f"	"2F*"	"5/2"	4	6		"T10236"	"L3331,L21488"	
Bi	3	"763.86"	"0.12"	"763.743"	"0.020"	"61wbl(Bi II)"	"5.8e+07"	C	"19.118227"	"20.74116"	"6s2.8p"	"2P*"	"1/2"	"6s2.9s"	"2S"	"1/2"	2	2		"T10236"	"L3331,L21488"	
Bi	3	"800.84"	"0.06"	"800.84"	"0.06"	"590*"	"2.9e+06"	C	"20.61046"	"22.15822"	"6s2.5g"	"2G"	"9/2"	"6s2.6h"	"2H*"	"9/2"	10	10		"T10236"	"L3331,L21488"	
Bi	3	"800.84"	"0.06"	"800.84"	"0.06"	"590*"	"1.3e+08"	C	"20.61046"	"22.15822"	"6s2.5g"	"2G"	"9/2"	"6s2.6h"	"2H*"	"11/2"	10	12		"T10236"	"L3331,L21488"	
Bi	3	"803.27"	"0.06"	"803.237"	"0.020"	"19"	"6.4e+06"	C	"18.572263"	"20.115395"	"6s2.7d"	"2D"	"5/2"	"6s2.6f"	"2F*"	"5/2"	6	6		"T10236"	"L3331,L21488"	
Bi	3	"807.03"	"0.06"	"806.946"	"0.020"	"580"	"9.6e+07"	C	"18.572263"	"20.108303"	"6s2.7d"	"2D"	"5/2"	"6s2.6f"	"2F*"	"7/2"	6	8		"T10236"	"L3331,L21488"	
Bi	3	"810.03"	"0.12"	"810.149"	"0.020"	"76"	"2.2e+07"	C	"17.042296"	"18.572263"	"6s2.5f"	"2F*"	"7/2"	"6s2.7d"	"2D"	"5/2"	8	6		"T10236"	"L3331,L21488"	
Bi	3	"816.78"	"0.06"	"816.761"	"0.020"	"5"	"1.1e+06"	D+	"17.054681"	"18.572263"	"6s2.5f"	"2F*"	"5/2"	"6s2.7d"	"2D"	"5/2"	6	6		"T10236"	"L3331,L21488"	
Bi	3	"866.94"	"0.06"	"866.96"	"0.03"	"47"	"2.0e+07"	C	"17.054681"	"18.48439"	"6s2.5f"	"2F*"	"5/2"	"6s2.7d"	"2D"	"3/2"	6	4		"T10236"	"L3331,L21488"	
Bi	3	"893.20"	"0.06"	"893.192"	"0.020"	"97"	"5.8e+07"	C	"18.00596"	"19.393686"	"6s2.8s"	"2S"	"1/2"	"6s2.8p"	"2P*"	"3/2"	2	4		"T10236"	"L3331,L21488"	
