element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Pr	2	"596.782"	"596.784+"	"110"	"3.4e+06"	C+	"1.196035"	"3.272999"	"4f3.(4I*).5d"	"5I*"	"6"	"4f3.(4I*).6p?"	""	"6"	13	13		"T8137"	"L3475"	
Pr	2	"602.572"	"602.573+"	"150"	"6.9e+06"	C+	"1.439587"	"3.496596"	"4f3.(4I*).5d"	"5I*"	"8"	"4f3.(4I*).6p"	"5I"	"8"	17	17		"T8137"	"L3475"	
Pr	2	"604.287"	"604.287+"	"35"	"2.8e+06"	C+	"1.260110"	"3.311284"	"4f3.(4I*).5d"	"3K*"	"6"	""	""	"5"	13	11		"T8137"	"L3475"	
Pr	2	"605.004"	"605.004+"	"28"	"2.4e+06"	C	"1.254302"	"3.303046"	"4f3.(4I*).5d"	"5G*"	"4"	""	""	"5"	9	11		"T8137"	"L3475"	
Pr	2	"606.727"	"606.724+"	"13"	"1.7e+06"	D+	"1.260110"	"3.303046"	"4f3.(4I*).5d"	"3K*"	"6"	""	""	"5"	13	11		"T8137"	"L3475"	
Pr	2	"608.616"	"608.618+"	"28"	"1.6e+06"	D+	"1.306276"	"3.342857"	"4f3.(4I*).5d"	"*"	"5"	"4f3.(4I*).6p?"	""	"6"	11	13		"T8137"	"L3475"	
Pr	2	"608.752"	"608.753+"	"65"	"6.0e+06"	C+	"1.121437"	"3.157564"	"4f3.(4I*).5d"	"5G*"	"3"	""	""	"4"	7	9		"T8137"	"L3475"	
Pr	2	"609.038"	"609.038+"	"20"	"1.57e+06"	C+	"1.243600"	"3.278776"	"4f3.(4I*).5d"	"*"	"7"	""	""	"7"	15	15		"T8137"	"L3475"	
Pr	2	"610.672"	"610.673+"	"22"	"1.07e+06"	C+	"1.131811"	"3.161538"	"4f3.(4I*).5d"	"*"	"4"	"4f3.(4I*).6p?"	""	"5"	9	11		"T8137"	"L3475"	
Pr	2	"614.151"	"614.154+"	"35"	"1.14e+06"	C	"1.162802"	"3.181024&dagger;"	"4f3.(4I*).5d"	"5H*"	"5"	"4f3.(4I*).6p"	"5I"	"6"	11	13		"T8137"	"L3475"	
