element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Dy	1	"458.936"	"458.9364+"	"2100"	"1.37e+07"	B+	"0.0000000"	"2.7007983"	"4f10.6s2"	"5I"	"8"	"4f9.(6H*).5d.6s2"	"5K*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"461.226"	"461.2259+"	"990"	"8.2e+06"	B+	"0.0000000"	"2.687392"	"4f10.6s2"	"5I"	"8"	"4f9.(6F*).5d.6s2"	"5H*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"479.129"	"479.1293+"	"95"	"1.16e+06"	B+	"0.5125782"	"3.099553"	"4f10.6s2"	"5I"	"7"	"4f10.(5I<6>).6s.6p.(3P*<2>)"	"(6,2)*"	"8"	15	17		"T7148"	"L3475"	
Dy	1	"480.794"	"480.7946+"	"50"	"9.6e+05"	B+	"0.9380161"	"3.516031"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"7"	17	15		"T7148"	"L3475"	
Dy	1	"481.280"	"481.2802+"	"50"	"8.5e+05"	B	"1.0562474"	"3.631661"	"4f9.(6H*).5d.6s2"	"7H*"	"7"	""	""	"8"	15	17		"T7148"	"L3475"	
Dy	1	"488.016"	"488.0162+"	"85"	"5.2e+05"	B+	"0.0000000"	"2.539866"	"4f10.6s2"	"5I"	"8"	"4f9.(6F*).5d.6s2"	"7G*"	"7"	17	15		"T7148"	"L3475"	
Dy	1	"488.808"	"488.8082+"	"95"	"4.97e+06"	B+	"1.0562474"	"3.591998"	"4f9.(6H*).5d.6s2"	"7H*"	"7"	""	""	"8"	15	17		"T7148"	"L3475"	
Dy	1	"502.212"	"502.212+"	"70"	"1.27e+06"	B+	"0.5125782"	"2.980653"	"4f10.6s2"	"5I"	"7"	"4f9.(6F*).5d.6s2"	"5H*"	"6"	15	13		"T7148"	"L3475"	
Dy	1	"502.454"	"502.453+"	"24"	"1.19e+06"	B+	"0.9380161"	"3.404905"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"7"	17	15		"T7148"	"L3475"	
Dy	1	"504.263"	"504.264+"	"160"	"6.9e+06"	B+	"0.9380161"	"3.396047"	"4f9.(6H*).5d.6s2"	"7H*"	"8"	""	""	"9"	17	19		"T7148"	"L3475"	
Dy	1	"504.725"	"504.724+"	"24"	"1.05e+06"	B+	"1.0562474"	"3.512036"	"4f9.(6H*).5d.6s2"	"7H*"	"7"	""	""	"6"	15	13		"T7148"	"L3475"	
