element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
La	1	"582.383"	"582.382+"	"50"	"1.31e+07"	B	"0.9983409"	"3.126667"	"5d2.(3F).6s"	"2F"	"7/2"	"5d2.(3P).6p"	"*"	"5/2"	8	6		"T9460"	"L3475"	
La	1	"582.756"	"582.754+"	"24"	"8.2e+06"	B	"1.1386457"	"3.265611"	"5d2.(1D).6s"	"2D"	"5/2"	"5d2.(3P).6p"	"4P*"	"5/2"	6	6		"T9460"	"L3475"	
La	1	"582.972"	"582.972+"	"80"	"2.08e+07"	B+	"0.9287062"	"3.054879"	"5d2.(3P).6s"	"4P"	"3/2"	"5d2.(3P).6p"	"4S*"	"3/2"	4	4		"T9460"	"L3475"	
La	1	"583.979"	"583.978+"	"16"	"7.00e+05"	C+	"0.1305757"	"2.253084"	"5d.6s2"	"2D"	"5/2"	"5d2.(3F).6p"	"2D*"	"3/2"	6	4		"T9460"	"L3475"	
La	1	"584.503"	"584.503+"	"24"	"1.32e+06"	C+	"0.1305757"	"2.251177"	"5d.6s2"	"2D"	"5/2"	"5d.6s.(3D).6p"	"4P*"	"5/2"	6	6		"T9460"	"L3475"	
La	1	"585.227"	"585.227+"	"35h"	"6.6e+06"	C+	"0.9521911"	"3.070171"	"5d2.(3P).6s"	"4P"	"5/2"	"5d2.(3P).6p?"	"2D*?"	"3/2"	6	4		"T9460"	"L3475"	
La	1	"585.558"	"585.559+"	"80"	"8.1e+06"	B	"0.3731927"	"2.489972"	"5d2.(3F).6s"	"4F"	"5/2"	"5d2.(3F).6p"	"4F*"	"3/2"	6	4		"T9460"	"L3475"	
La	2	"586.371"	"586.369+"	"80"	"1.19e+06"	C+	"0.926574"	"3.040427"	"5d2"	"a 1G"	"4"	"4f.5d"	"y 1F*"	"3"	9	7		"T7455"	"L3475"	
La	1	"586.995"	"586.995+"	"16"	"1.66e+06"	C+	"0.9983409"	"3.109940"	"5d2.(3F).6s"	"2F"	"7/2"	"5d2.(3P).6p"	"4D*"	"7/2"	8	8		"T9460"	"L3475"	
La	1	"587.473"	"587.473+"	"45"	"1.03e+07"	C+	"0.9287062"	"3.038589&dagger;"	"5d2.(3P).6s"	"4P"	"3/2"	"4f.5d.(3F*).6s"	"4F*"	"5/2"	4	6		"T9460"	"L3475"	
La	1	"587.763"	"587.762+"	"21"	"1.74e+06"	C+	"0.3731927"	"2.482038"	"5d2.(3F).6s"	"4F"	"5/2"	"5d.6s.(1D).6p"	"*"	"3/2"	6	4		"T9460"	"L3475"	
La	1	"587.799"	"587.799+"	"16"	"1.15e+07"	C+	"1.0471760"	"3.155888"	"5d2.(1D).6s"	"2D"	"3/2"	"5d.6s.(3D).6p"	"*"	"1/2"	4	2		"T9460"	"L3475"	
La	2	"588.064"	"588.063+"	"65"	"5.7e+05"	C	"0.234969"	"2.342732"	"5d.6s"	"a 3D"	"1"	"4f.5d"	"z 1D*"	"2"	3	5		"T7455"	"L3475"	
La	1	"589.485"	"589.483+"	"65"	"2.23e+07"	B+	"0.9521911"	"3.054879"	"5d2.(3P).6s"	"4P"	"5/2"	"5d2.(3P).6p"	"4S*"	"3/2"	6	4		"T9460"	"L3475"	
La	1	"590.430"	"590.430+"	"16"	"3.1e+06"	C+	"0.9983409"	"3.097657"	"5d2.(3F).6s"	"2F"	"7/2"	"5d2.(3P).6p?"	"*"	"5/2"	8	6		"T9460"	"L3475"	
La	1	"591.763"	"591.763+"	"45"	"1.96e+06"	B+	"0.1305757"	"2.225161"	"5d.6s2"	"2D"	"5/2"	"5d2.(3F).6p"	"4G*"	"5/2"	6	6		"T9460"	"L3475"	
La	1	"593.062"	"593.061+"	"320*"	"6.7e+06"	B+	"0.1305757"	"2.220578"	"5d.6s2"	"2D"	"5/2"	"5d2.(3F).6p"	"*"	"7/2"	6	8		"T9460"	"L3475"	
La	1	"593.068"	"593.068+"	"320*"	"5.17e+06"	B+	"0.0000000"	"2.089977"	"5d.6s2"	"2D"	"3/2"	"5d2.(3F).6p"	"*"	"5/2"	4	6		"T9460"	"L3475"	
