element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Tm	1	"496.4672"	"0.0005"	"496.4676+"	"19"	"9.e+05"	D+	"2.6951295"	"5.1917601"	"4f12.(3F<4>).5d<3/2>.6s2"	"(4,3/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"11/2"	10	12		"T6708"	"L2006"	
Tm	1	"497.1258"	"0.0005"	"497.1259+"	"270"	"2.18e+07"	B+	"2.4237465"	"4.9170710"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"5/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[7/2]*"	"5/2"	6	6		"T6708"	"L2006,L3475"	
Tm	1	"498.5130"	"0.0005"	"498.5129+"	"510"	"1.19e+07"	B+	"2.4237465"	"4.9101341"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"5/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[3/2]*"	"3/2"	6	4		"T6708"	"L2006"	
Tm	1	"498.8669"	"0.0005"	"498.8672+"	"15"	"3.6e+05"	C	"2.3355381"	"4.8201598"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"9/2"	"4f12.5d.6s.6p"	"*"	"11/2"	10	12		"T6708"	"L2006"	
Tm	1	"499.2780"	"0.0005"	"499.2767+"	"50"	"5.6e+05"	B	"2.3375761"	"4.8201598"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"11/2"	12	12		"T6708"	"L2006"	
Tm	1	"502.1123"	"0.0005"	"502.112+"	"240"	"1.56e+06"	B+	"2.1641216"	"4.632686"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"13/2"	"4f12.5d.6s.6p"	"*"	"13/2"	14	14		"T6708"	"L2006"	
Tm	1	"502.4890"	"0.0005"	"502.489+"	"130"	"1.03e+06"	B+	"2.3176458"	"4.784359"	"4f12.(3H<6>).5d<5/2>.6s2"	"(6,5/2)"	"15/2"	"4f12.5d.6s.6p"	"*"	"13/2"	16	14		"T6708"	"L2006"	
Tm	1	"502.7060"	"0.0005"	"502.7058+"	"25"	"4.5e+05"	C+	"2.3545103"	"4.8201598"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	"4f12.5d.6s.6p"	"*"	"11/2"	12	12		"T6708"	"L2006"	
Tm	1	"503.1042"	"0.0005"	"503.104+"	"23"	"1.59e+06"	C+	"2.4237465"	"4.887445"	"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"5/2"	"4f13.(2F*<7/2>).6s.6d.(3D)"	"3[5/2]*"	"3/2"	6	4		"T6708"	"L2006"	
Tm	1	"504.3505"	"0.0005"	"504.3503+"	"220"	"2.59e+06"	B	"2.1641216"	"4.6217314"	"4f12.(3H<6>).5d<3/2>.6s2"	"(6,3/2)"	"13/2"	"4f12.5d.6s.6p"	"*"	"11/2"	14	12		"T6708"	"L2006,L3475"	
