element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	g_i	g_k	Type	tp_ref	line_ref	
U	1	"357.4110"	""	"290"	"3.5e+06"	C	""	""	"6"	"7"	13	15		"T4515"	"L1813"	
U	1	"357.476"	""	"320"	"1.9e+06"	C	""	""	"6"	"7"	13	15		"T4515"	"L3475"	
U	1	"357.7069"	""	"370"	"4.3e+06"	C	""	""	"8"	"7"	17	15		"T4515"	"L1813"	
U	1	"357.7490"	""	"230"	"7.8e+05"	C	""	""	"7"	"6"	15	13		"T4515"	"L1813"	
U	1	"357.7781"	""	"430"	"8.3e+05"	C	""	""	"5"	"5"	11	11		"T4515"	"L1813"	
U	1	"357.792"	""	"360"	"2.3e+06"	C	""	""	"6"	"6"	13	13		"T4515"	"L3475"	
U	1	"357.8327"	""	"620"	"2.0e+06"	C	""	""	"6"	"5"	13	11		"T4515"	"L1813"	
U	1	"357.9952"	""	"160"	"1.2e+06"	C	""	""	"4"	"4"	9	9		"T4515"	"L1813"	
U	1	"358.0246"	""	"640"	"2.9e+06"	C	""	""	"5"	"4"	11	9		"T4515"	"L1813"	
U	1	"358.0365"	""	"530"	"7.5e+05"	C	""	""	"5"	"6"	11	13		"T4515"	"L1813"	
U	1	"358.0921"	""	"430"	"2.1e+06"	C	""	""	"6"	"6"	13	13		"T4515"	"L1813"	
U	1	"358.2622"	""	"530"	"2.9e+06"	C	""	""	"6"	"6"	13	13		"T4515"	"L1813"	
U	1	"358.4641"	""	"240"	"2.4e+06"	C	""	""	"3"	"2"	7	5		"T4515"	"L1813"	
U	1	"358.488"	""	"3200"	"1.8e+07"	B	""	""	"6"	"7"	13	15		"T4515"	"L3475"	
U	1	"358.5375"	""	"600"	"1.9e+06"	C	""	""	"5"	"5"	11	11		"T4515"	"L1813"	
U	1	"358.5837"	""	"640"	"2.8e+06"	C	""	""	"5"	"4"	11	9		"T4515"	"L1813"	
U	1	"358.7784"	""	"150"	"1.3e+06"	C	""	""	"4"	"5"	9	11		"T4515"	"L1813"	
U	1	"358.8348"	""	"210"	"1.8e+06"	C	""	""	"3"	"4"	7	9		"T4515"	"L1813"	
U	1	"358.9659"	""	"640"	"2.1e+06"	C	""	""	"5"	"6"	11	13		"T4515"	"L1813"	
U	1	"358.9787"	""	"570"	"5.9e+06"	C	""	""	"7"	"6"	15	13		"T4515"	"L1813"	
U	1	"359.0726"	""	"190"	"2.2e+06"	C	""	""	"4"	"3"	9	7		"T4515"	"L1813"	
U	1	"359.174"	""	"390"	"5.3e+06"	C	""	""	"5"	"4"	11	9		"T4515"	"L3475"	
U	1	"359.2969"	""	"370"	"1.4e+06"	C	""	""	"5"	"5"	11	11		"T4515"	"L1813"	
U	1	"359.3194"	""	"410"	"4.2e+06"	C	""	""	"6"	"7"	13	15		"T4515"	"L1813"	
U	1	"359.3686"	""	"410"	"7.2e+06"	C	""	""	"5"	"5"	11	11		"T4515"	"L1813"	
