element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Rb	2	"397.8149"	"0.0010"	"397.8155"	"1000c"	"1.8e+07"		"17.2083100"	"20.3240539"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	1	3		"T3743"	"L2590"	
Rb	2	"402.9487"	"0.0005"	"402.9485"	"1700"	"7.e+06"		"16.5322523"	"19.6083075"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	5	3		"T3743"	"L2590"	
Rb	2	"408.3881"	"0.0010"	"408.38923"	"2500c"	"9.e+06"		"17.4334240"	"20.4684992"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	3		"T3743"	"L2590"	
Rb	2	"410.4284"	"0.0010"	"410.4276"	"2000c"	"1.6e+07"		"17.4334240"	"20.4534261"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	3	5		"T3743"	"L2590"	
Rb	2	"413.6112"	"0.0010"	"413.6115"	"1700c"	"1.2e+08"		"17.7870182"	"20.7837732"	"4p5.4d"	"3P*"	"1"	"4p5.(2P*<1/2>).5p"	"2[1/2]"	"0"	3	1		"T3743"	"L2590"	
Rb	1	"420.1792"	"0.0005"	"420.18053"	"1000"	"1.77e+06"		"0.0000000"	"2.9499053"	"4p6.5s"	"2S"	"1/2"	"4p6.6p"	"2P*"	"3/2"	2	4		"T7227"	"L3287"	
Rb	1	"421.5524"	"0.0005"	"421.5539"	"500"	"1.50e+06"		"0.0000000"	"2.9402953"	"4p6.5s"	"2S"	"1/2"	"4p6.6p"	"2P*"	"1/2"	2	2		"T7227"	"L3287"	
Rb	2	"424.4397"	"0.0005"	"424.4390"	"90000"	"1.1e+08"		"16.5322523"	"19.4525611"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	5	7		"T3743"	"L2590"	
Rb	2	"426.6581"	"0.0005"	"426.6584"	"500"	"5.4e+08"		"19.4329127"	"22.3380312"	"4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	5	3		"T3743"	"L2590"	
Rb	2	"427.3140"	"0.0005"	"427.3141"	"15000"	"4.4e+07"		"16.5322523"	"19.4329127"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	5		"T3743"	"L2590"	
Rb	2	"428.7967"	"0.0010"	"428.7969"	"2500c"	"3.4e+07"		"17.4334240"	"20.3240539"	"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	3		"T3743"	"L2590"	
Rb	2	"429.3971"	"0.0005"	"429.3971"	"1500"	"5.4e+07"		"16.7217180"	"19.6083075"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	3		"T3743"	"L2590"	
Rb	2	"453.0337"	"0.0005"	"453.0333"	"3000"	"2.0e+07"		"17.7325096"	"20.4684992"	"4p5.4d"	"3P*"	"0"	"4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	1	3		"T3743"	"L2590"	
Rb	2	"454.0736"	"0.0005"	"454.0732"	"400"	"7.6e+07"		"19.6083075"	"22.3380312"	"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	3	3		"T3743"	"L2590"	
Rb	2	"457.1774"	"0.0005"	"457.1765"	"20000"	"1.8e+07"		"16.7217180"	"19.4329127"	"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	3	5		"T3743"	"L2590"	
Rb	2	"462.2423"	"0.0010"	"462.2426"	"3000c"	"3.3e+07"		"17.7870182"	"20.4684992"	"4p5.4d"	"3P*"	"1"	"4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	3		"T3743"	"L2590"	
