element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ac	1	"438.4530"	"0.0006"	"438.4520"	"0.0006"	"4500c"	"5.e+06"	E	"0.0000000"	"2.826977"	"6d.7s2"	"a 2D"	"3/2"	"6d.7s.(3D).7p"	"4P*"	"5/2"	4	6		"u42"	"L7344"	
Ac	2	"438.6411"	"0.0009"	"438.6399"	"0.0003"	"8400"	"7.4e+07"	D+	"1.1267089"	"3.9524748"	"6d.7s"	"a 1D"	"2"	"6d.7p"	"z 1D*"	"2"	5	5		"u42"	"L7344"	
Ac	2	"439.1430"	"0.0009"	"439.1432"	"0.0004"	"46"	"2.3e+07"	E	"3.9524748"	"6.775002"	"6d.7p"	"z 1D*"	"2"	"5f.(2F*<5/2>).7p<1/2>"	"e 3G"	"3"	5	7		"u42"	"L7344"	
Ac	1	"439.6710"	"0.0006"	"439.6716"	"0.0003"	"4900"	"7.2e+07"	D+	"0.2766623"	"3.0957978"	"6d.7s2"	"a 2D"	"5/2"	"6d.7s.(1D).7p"	"2P*"	"3/2"	6	4		"u42"	"L7344"	
Ac	3	"441.3090"	"0.0006"	"441.3091"	"0.0006"	"17000h"	"1.85e+07"	B+	"0.099310"	"2.907985"	"6p6.6d"	"2D"	"3/2"	"6p6.5f"	"2F*"	"5/2"	2	2		"T9249,T8113"	"L7344"	
Ac	1	"446.2730"	"0.0006"	"446.2731"	"0.0006"	"5800"	"4.1e+07"	D+	"0.2766623"	"3.054097"	"6d.7s2"	"a 2D"	"5/2"	"6d.7s.(1D).7p"	"2F*"	"7/2"	6	8		"u42"	"L7344"	
Ac	2	"447.0589"	"0.0009"	"447.0592"	"0.0005"	"330"	"5.5e+06"	D+	"2.0775849"	"4.850135"	"6d2"	"a 3F"	"4"	"6d.7p"	"z 3F*"	"4"	9	9		"u42"	"L7344"	
Ac	2	"450.7200"	"0.0009"	"450.7195"	"0.0006"	"15000cl"	"2.13e+07"	B	"0.000000"	"2.750035"	"7s2"	"a 1S"	"0"	"7s.7p"	"z 3P*"	"1"	1	3		"T9296"	"L7344"	
Ac	2	"454.4090"	"0.0009"	"454.4080"	"0.0006"	"700"	"5.e+07"	E	"2.7523788"	"5.480092"	"6d2"	"b 1D"	"2"	"6d.7p"	"y 1P*"	"1"	5	3		"u42"	"L7344"	
Ac	3	"456.9870"	"0.0006"	"456.9870"	"0.0006"	"31000h"	"2.11e+07"	B+	"0.5212214"	"3.233541"	"6p6.6d"	"2D"	"5/2"	"6p6.5f"	"2F*"	"7/2"	2	2		"T9249,T8113"	"L7344"	
