Element;Mass;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Ni;58.6934;7.6393044;18.168092;35.18578;54.9292;76.061396;107.7856;132.6592;161.6784;192.7704;224.58788;320.97308;352.376;384.5044;430.106;464.3072;498.5084;571.066764;607.01948;1541.1268;1647.876;1755.6616;1893.5028;2010.616;2130.8384;2294.5896;2399.16236;10288.529352;10775.119152;0;0
Cu;63.546;7.726362;20.2916756;36.84402;57.375104;79.8028;102.6036;138.8776;165.824;198.9888;232.1536;265.3184;368.9584;401.0868;435.288;483.9988;520.2728;556.5468;633.2404;670.571528;1696.5868;1804.3724;1916.3036;2060.3632;2181.622;2308.0628;2478.0324;2587.47624;11062.098312;11567.31222;0
Zn;65.38;9.3939296;17.9639212;39.725212;59.396084;82.60108;107.7856;133.6956;174.1152;203.1344;238.372;273.6096;310.81636;419.63836;453.9432;490.2172;542.0372;579.3476;618.7308;697.4972;737.9168;1856.1924;0;0;0;0;0;0;0;0;0
Ga;69.723;5.9986832;20.5134652;30.708532;64.04952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ge;72.63;7.897368;15.93465;34.2229644;45.715604;93.48328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
As;74.921595;9.814708;18.634472;28.34554;50.130668;62.629652;127.58084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Se;78.971;9.752524;21.19438;30.8194268;42.948416;68.29876;81.66832;155.35636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Br;79.904;11.8139236;21.795492;35.96308;47.25984;59.69664;88.6122;103.01816;192.7704;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kr;83.798;13.9996912;24.3595456;36.94766;52.54548;64.67136;78.45548;110.99844;125.798232;230.847736;268.22032;307.8108;350.3032;390.7228;446.6884;492.29;541.0008;591.7844;640.4952;785.5912;833.2656;884.0492;936.9056;998.0532;1050.9096;1151.4404;1205.22956;2927.83;3069.8168;3227.3496;3380.7368
Rb;85.4678;4.176692;27.288412;40.00504;52.64912;70.9934;84.36296;99.18348;135.97568;150.278;277.13336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sr;87.62;5.695018;11.0293688;42.886232;57.002;71.61524;90.78864;106.02372;122.2952;161.6784;177.2244;324.08228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Y;88.90584;6.2184;12.22952;20.52072;60.598308;77.00452;92.96508;115.97316;129.0318;146.23604;190.6976;206.2436;374.03676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zr;91.224;6.6339964;13.16228;22.987352;34.335932;80.341728;98.458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nb;92.90637;6.7583644;14.30232;25.039424;38.3468;50.545228;102.054308;125.4044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mo;95.95;7.0920852;16.16784;27.132952;46.43072;54.483548;68.8252512;125.6635;143.64504;164.11394;186.34472;209.24916;230.277716;279.10252;302.587344;544.00636;570.02;636.3496;701.6428;766.936;833.2656;901.668;967.9976;1020.02488;1082.0016;1263.3716;1323.4828;1386.7032;1448.8872;1534.9084;1601.238
Tc;97.00;7.275528;15.23508;29.5374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ru;101.07;7.3605128;16.78968;28.469908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rh;102.90549;7.4589708;18.03336;31.060908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pd;106.42;8.3368016;19.38068;32.926428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag;107.8682;7.576084;21.45348;34.833404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cd;112.414;8.9938792;16.9078296;37.476224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
In;114.818;5.7862212;18.8697348;28.024256;53.99644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sn;118.71;7.3439304;14.6318952;30.501252;40.7336292;77.273984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sb;121.76;8.643576;16.5295436;25.28816;44.15064;55.9656;107.7856;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Te;127.6;9.0094252;18.55156;27.962072;37.41404;58.743152;70.68248;136.8048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I;126.90447;10.4510576;19.1309076;32.95752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Xe;131.293;12.1300256;21.2088896;32.1221816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cs;132.90545196;3.8937548;23.1562852;35.2376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ba;137.327;5.2120556;10.0033328;37.3104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La;138.90547;5.5768684;11.058388;19.1765092;49.944116;61.56216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ce;140.116;5.5385216;10.8822;20.199436;36.761108;65.5523;77.62636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pr;140.90766;5.461828;10.57128;21.619304;38.979004;57.530564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nd;144.242;5.5250484;10.77856;22.07532;40.4196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pm;145;5.59656;10.8822;22.2826;41.14508;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sm;150.36;5.643198;11.08948;23.42264;41.35236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eu;151.964;5.6701444;11.24494;24.915056;42.69968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gd;157.25;6.1499976;12.12588;20.62436;44.047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tb;158.925354;5.8639512;11.50404;21.909496;39.787396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dy;162.5;5.938572;11.71132;22.8008;41.35236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
