element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ta	1	"514.3687"	"514.369+"	"100"	"1.68e+06"	B+	"1.147279"	"3.557021"	"5d3.6s2"	"a 4P"	"5/2"	""	"286*"	"3/2"	6	4		"T4976"	"L7593,L3475"	
Ta	1	"514.762"	"514.762+"	"75"	"9.0e+05"	B	"1.394032"	"3.801933"	"5d4.(5D).6s"	"a 6D"	"5/2"	"5d3.6s.(5P).6p"	"y 6D*"	"3/2"	6	4		"T4976"	"L7607,L3475"	
Ta	1	"516.1814"	"516.181+"	"75"	"6.3e+05"	C+	"1.236843"	"3.638125"	"5d4.(5D).6s"	"a 6D"	"3/2"	""	"293*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"521.8452"	"521.843+"	"110D"	"8.8e+04"	B	"0.249221"	"2.624449"	"5d3.6s2"	"a 4F"	"5/2"	"5d2.6s2.(3F).6p"	"z 4D*"	"5/2"	6	6		"T4976"	"L7593,L3475"	
Ta	1	"521.8660"	"521.867+"	"40"	"8.2e+05"	B	"1.203314"	"3.578433"	"5d3.6s2"	"a 2G"	"7/2"	""	"288*"	"5/2"	8	6		"T4976"	"L7593,L3475"	
Ta	1	"523.5393"	"523.539+"	"30"	"4.7e+05"	B+	"1.595177"	"3.962711"	"5d3.6s2"	"a 2D"	"5/2"	"5d3.6s.(5P).6p"	"z 6P*"	"5/2"	6	6		"T4976"	"L7593,L3475"	
Ta	1	"529.5009"	"529.501+"	"90"	"7.5e+05"	B+	"1.147279"	"3.488157"	"5d3.6s2"	"a 4P"	"5/2"	"5d3.6s.(5F).6p"	"y 4D*"	"5/2"	6	6		"T4976"	"L7593,L3475"	
Ta	1	"533.6127"	"533.612+"	"30"	"5.5e+05"	B+	"1.595177"	"3.918018"	"5d3.6s2"	"a 2D"	"5/2"	""	"316*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"534.9575"	"534.956+"	"50"	"2.15e+06"	B+	"1.595177"	"3.912184"	"5d3.6s2"	"a 2D"	"5/2"	""	"315*"	"3/2"	6	4		"T4976"	"L7593,L3475"	
Ta	1	"535.4679"	"535.466+"	"65"	"6.5e+05"	B	"0.752449"	"3.067249"	"5d3.6s2"	"a 4P"	"3/2"	"5d3.6s.(5F).6p"	"z 6D*"	"3/2"	4	4		"T4976"	"L7593,L3475"	
