element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Hg	2	"218.0887"	"0.0003"	"218.08873"	"0.00010"	"1"	"2.4e+07"		"13.1689890"	"18.852244"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"7/2"	"5d9.6p2"	"(2D<5/2>,3P<1>)"	"7/2"	8	8		"T7226"	"L11760"	
Hg	2	"218.3157"	"0.0002"	"218.31570"	"0.00010"	"40"	"1.0e+07"		"12.5052160"	"18.1825633"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"5/2"	"5d9.6p2"	"(2D<5/2>,3P<0>)"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"219.0167"	"0.0003"	"219.01688"	"0.00010"	"18"	"2.6e+06"		"12.5052160"	"18.1643892"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"7/2"	6	8		"T7226"	"L11760"	
Hg	2	"219.0744"	"0.0002"	"219.07421"	"0.00010"	"15000"	"1.0e+07"		"6.2680915"	"11.925784"	"5d9.6s2"	"2D"	"3/2"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"1/2"	4	2		"T7226"	"L11760"	
Hg	2	"221.6264"	"0.0003"	"221.62642"	"0.00010"	"125"	"9.5e+06"		"12.5052160"	"18.0977621"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"7/2"	6	8		"T7226"	"L11760"	
Hg	2	"222.4013"	"0.0003"	"222.40134"	"0.00010"	"4500"	"2.7e+07"		"11.8017287"	"17.3747902"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"7/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"5/2"	8	6		"T7226"	"L11760"	
Hg	2	"222.4711"	"0.0002"	"222.47110"	"0.00010"	"200000"	"7.5e+08"		"7.5144792"	"13.0857934"	"5d10.6p"	"2P*"	"3/2"	"5d10.6d"	"2D"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"222.9807"	"0.0003"	"222.98069"	"0.00010"	"400"	"1.0e+07"		"11.8162072"	"17.3747902"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"223.0032"	"0.0002"	"223.00285"	"0.00010"	"7500"	"1.5e+08"		"11.666025"	"17.2240553"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"3/2"	4	4		"T7226"	"L11760"	
Hg	2	"225.2786"	"0.0002"	"225.27837"	"0.00010"	"100000"	"1.2e+08"		"7.5144792"	"13.0163742"	"5d10.6p"	"2P*"	"3/2"	"5d10.6d"	"2D"	"3/2"	4	4		"T7226"	"L11760"	
Hg	2	"225.5468"	"0.0003"	"225.54712"	"0.00010"	"4"	"1.3e+06"		"11.8162072"	"17.3115470"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d10.9d"	"2D"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"225.6120"	"0.0003"	"225.61184"	"0.00010"	"2.5"	"3.5e+06"		"12.5052160"	"17.9989795"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"225.8678"	"0.0003"	"225.86752"	"0.00010"	"10"	"9.5e+06"		"12.8786481"	"18.366193"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<2>,3/2]"	"1/2"	2	2		"T7226"	"L11760"	
Hg	2	"226.02942"	"0.00005"	"226.02943"	"0.00010"	"600000"	"3.0e+08"		"6.3834591"	"11.8670739"	"5d10.6p"	"2P*"	"1/2"	"5d10.7s"	"2S"	"1/2"	2	2		"T7226"	"L11760"	
Hg	2	"226.22226"	"0.00006"	"226.22227"	"0.00010"	"750000"	"8.0e+06"		"4.40325219"	"9.8821930"	"5d9.6s2"	"2D"	"5/2"	"5d9.6s.6p"	"(2D<5/2>,3P<0>)*"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"226.3634"	"0.0002"	"226.36338"	"0.00010"	"100000"	"2.8e+08"		"11.299859"	"16.7753844"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"9/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"7/2"	10	8		"T7226"	"L11760"	
Hg	2	"228.7705"	"0.0003"	"228.77052"	"0.00010"	"5"	"2.5e+06"		"12.5052160"	"17.9231329"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"229.1963"	"0.0002"	"229.19650"	"0.00010"	"7000h"	"1.2e+08"		"11.8162072"	"17.2240553"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"229.6178"	"0.0002"	"229.61753"	"0.00010"	"12000"	"1.7e+06"		"6.2680915"	"11.666025"	"5d9.6s2"	"2D"	"3/2"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"3/2"	4	4		"T7226"	"L11760"	
Hg	2	"229.9813"	"0.0002"	"229.98141"	"0.00010"	"4"	"5.3e+06"		"12.7931699"	"18.1825633"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"3/2"	"5d9.6p2"	"(2D<5/2>,3P<0>)"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"230.1363"	"0.0003"	"230.13643"	"0.00010"	"6"	"1.6e+06"		"11.925784"	"17.3115470"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"1/2"	"5d10.9d"	"2D"	"3/2"	2	4		"T7226"	"L11760"	
Hg	2	"232.7233"	"0.0003"	"232.72320"	"0.00010"	"20"	"3.0e+07"		"15.1211623"	"20.447067"	"5d9.6s.6p"	"(2D<3/2>,1P<1>)*"	"5/2"	"5d9.6s.6d"	"[(2D<3/2>,1/2)<2>,5/2]"	"7/2"	6	8		"T7226"	"L11760"	
Hg	2	"233.9369"	"0.0003"	"233.93706"	"0.00010"	"12000"	"7.8e+07"		"11.925784"	"17.2240553"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"1/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"3/2"	2	4		"T7226"	"L11760"	
Hg	2	"234.5524"	"0.0003"	"234.55272"	"0.00010"	"8000"	"8.5e+06"		"11.666025"	"16.9503903"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"237.6685"	"0.0003"	"237.66859"	"0.00010"	"120"	"4.4e+07"		"12.7931699"	"18.008263"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"3/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"1/2"	4	2		"T7226"	"L11760"	
Hg	2	"237.7548"	"0.0003"	"237.75470"	"0.00010"	"200"	"6.0e+06"		"13.1529893"	"18.366193"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<2>,3/2]"	"1/2"	4	2		"T7226"	"L11760"	
Hg	1	"237.8324"	"0.0002"	"237.83241"	"0.00011"	"4000"	"3.6e+06"	D	"4.6673829"	"9.878884"	"5d10.6s.6p"	"3P*"	"0"	"5d10.6s.8d"	"3D"	"1"	1	3		"T3462"	"L3456"	
Hg	2	"238.0918"	"0.0003"	"238.09243"	"0.00010"	"40"	"1.0e+05"		"12.7931699"	"17.9989795"	"5d9.6s.6p"	"(2D<3/2>,3P<1>)*"	"3/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"239.0152"	"0.0002"	"239.01518"	"0.00010"	"3500"	"3.0e+07"		"12.0383417"	"17.2240553"	"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<2>,1/2]"	"3/2"	4	4		"T7226"	"L11760"	
Hg	2	"240.7352"	"0.0003"	"240.73536"	"0.00010"	"45000"	"1.1e+08"		"11.8017287"	"16.9503903"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"7/2"	"5d9.6s.7s"	"[(2D<5/2>,1/2)<3>,1/2]"	"5/2"	8	6		"T7226"	"L11760"	
