element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Sn	1	"278.50257"	"0.00004"	"278.50257"	"0.00003"	"2700"	"1.4e+07"	D	"1.0678703"	"5.5183726"	"5s2.5p2"	"1D"	"2"	"5s2.5p.5d"	"3D*"	"1"	5	3		"T4515"	"L3149,L7378"	
Sn	1	"278.79197"	"0.00006"	"278.79204"	"0.00004"	"1200"	"1.4e+07"	D	"2.1278787"	"6.5737602"	"5s2.5p2"	"1S"	"0"	"5s2.5p.8s"	"3P*"	"1"	1	3		"T4515"	"L3149,L7378"	
Sn	1	"281.25575"	"0.00006"	"281.25597"	"0.00006"	"1100"	"2.3e+07"	D	"2.1278787"	"6.5348143"	"5s2.5p2"	"1S"	"0"	"5s2.5p.7s"	"1P*"	"1"	1	3		"T4515"	"L3149,L7378"	
Sn	1	"281.35822"	"0.00005"	"281.35824"	"0.00003"	"3800"	"1.2e+07"	D	"1.0678703"	"5.47320408"	"5s2.5p2"	"1D"	"2"	"5s2.5p.5d"	"3D*"	"2"	5	5		"T4515"	"L3149,L7378"	
Sn	2	"282.551"	"0.003"	"282.54849"	"0.00007"	"240"	"1.11e+06"	C+	"7.0530101"	"11.4397872"	"5s2.6s"	"2S"	"1/2"	"5s2.7p"	"2P*"	"3/2"	2	4		"T8718"	"L17864"	
Sn	1	"283.99765"	"0.00008"	"283.99769"	"0.00004"	"13000r"	"1.7e+08"	D	"0.4249773"	"4.78937023"	"5s2.5p2"	"3P"	"2"	"5s2.5p.6s"	"3P*"	"2"	5	5		"T4515"	"L3149,L7378"	
Sn	1	"285.06195"	"0.00005"	"285.06200"	"0.00003"	"7500"	"3.3e+07"	D	"1.0678703"	"5.41596913"	"5s2.5p2"	"1D"	"2"	"5s2.5p.5d"	"3F*"	"2"	5	5		"T4515"	"L3149,L7378"	
Sn	1	"286.33147"	"0.00012"	"286.33166"	"0.00008"	"10000r"	"5.4e+07"	D	"0.0000000"	"4.32881927"	"5s2.5p2"	"3P"	"0"	"5s2.5p.6s"	"3P*"	"1"	1	3		"T4515"	"L3149,L7378"	
Sn	1	"291.35593"	"0.00007"	"291.35605"	"0.00007"	"2700"	"8.3e+07"	D	"2.1278787"	"6.3820517"	"5s2.5p2"	"1S"	"0"	"5s2.5p.6d"	"3D*"	"1"	1	3		"T4515"	"L3149,L7378"	
Sn	2	"291.986"	"0.003"	"291.987"	"0.003"	"610"	"2.4e+07"	D+	"8.8640361"	"13.10901"	"5s2.6p"	"2P*"	"1/2"	"5s2.8d"	"2D"	"3/2"	2	4		"T9352"	"L17864"	
Sn	2	"299.099"	"0.003"	"299.09965"	"0.00008"	"220"	"9.1e+05"	C+	"7.2957486"	"11.4397872"	"5s.5p2"	"2D"	"3/2"	"5s2.7p"	"2P*"	"3/2"	4	4		"T8718"	"L17864"	
