element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fr	1	"571.8746"	"0.0002"	"571.87464"	""	"7.38e+05"		"1.51724535"	"3.6846751"	"7p"	"2P*"	"1/2"	"11s"	"2S"	"1/2"	2	2		"T6898"	"L12264"	
Fr	1	"573.2468"	"0.0002"	"573.24676"	""	"1.09e+06"		"1.72635573"	"3.8885976"	"7p"	"2P*"	"3/2"	"12d"	"2D"	"5/2"	4	6		"T6898"	"L12264"	
Fr	1	"573.4818"	"0.0002"	"573.48185"	""	"1.80e+05"		"1.72635573"	"3.8877113"	"7p"	"2P*"	"3/2"	"12d"	"2D"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"585.3491"	"0.0002"	"585.34910"	""	"4.44e+06"		"1.51724535"	"3.6347824"	"7p"	"2P*"	"1/2"	"9d"	"2D"	"3/2"	2	4		"T6898"	"L12264"	
Fr	1	"587.2900"	"0.0002"	"587.29000"	""	"1.58e+06"		"1.72635573"	"3.8368947"	"7p"	"2P*"	"3/2"	"11d"	"2D"	"5/2"	4	6		"T6898"	"L12264"	
Fr	1	"587.6462"	"0.0002"	"587.64619"	""	"2.65e+05"		"1.72635573"	"3.8356155"	"7p"	"2P*"	"3/2"	"11d"	"2D"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"600.9574"	"0.0002"	"600.95745"	""	"6.84e+05"		"1.72635573"	"3.7888956"	"7p"	"2P*"	"3/2"	"12s"	"2S"	"1/2"	4	2		"T6898"	"L12264"	
Fr	1	"609.5276"	"0.0002"	"609.52762"	""	"3.56e+06"		"1.72635573"	"3.7598958"	"7p"	"2P*"	"3/2"	"10d"	"2D"	"5/2"	4	6		"T6898"	"L12264"	
Fr	1	"610.1095"	"0.0002"	"610.10952"	""	"3.99e+05"		"1.72635573"	"3.7579563"	"7p"	"2P*"	"3/2"	"10d"	"2D"	"3/2"	4	4		"T6898"	"L12264"	
Fr	1	"618.560"	"0.002"	"618.5596"	""	"7.93e+02"		"2.012247"	"4.016095"	"6d"	"2D"	"3/2"	"20p"	"2P*"	"3/2"	4	4		"T6898"	"L12264"	
