element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
He	2	""	""	"656.019412"	"0.000003"	""	"7.8476e+05"	AA	"(51.0167971475)"	"(52.90622231393)"	"4f"	"2F*"	"7/2"	"6g"	"2G"	"7/2"	8	8		"T8637"	""	
He	2	""	""	"656.020960"	"0.000003"	""	"3.2700e+05"	AA	"(51.0167971475)"	"(52.9062178567)"	"4f"	"2F*"	"7/2"	"6d"	"2D"	"5/2"	8	6		"T8637"	""	
He	1	"667.8151"	"0.0010"	"667.815170"	"0.000003"	"100"	"6.3705e+07"	AAA	"[21.2180230218]"	"[23.07407511941]"	"1s.2p"	"1P*"	"1"	"1s.3d"	"1D"	"2"	3	5		"T8636c73"	"L366"	
He	1	""	""	"667.967683"	"0.000003"	""	"1.510e+04"	AA	"[21.2180230218]"	"[23.07365134140]"	"1s.2p"	"1P*"	"1"	"1s.3d"	"3D"	"2"	3	5		"T8636c73"	""	
He	1	"706.5190"	"0.0010"	"706.517714"	"0.000005"	"200*"	"1.5474e+07"	AAA	"[20.96408720675]"	"[22.718466742]"	"1s.2p"	"3P*"	"2"	"1s.3s"	"3S"	"1"	5	3		"T8636c73"	"L14925c72"	
He	1	"706.5190"	"0.0010"	"706.521530"	"0.000005"	"200*"	"9.2844e+06"	AAA	"[20.96409668230]"	"[22.718466742]"	"1s.2p"	"3P*"	"1"	"1s.3s"	"3S"	"1"	3	3		"T8636c73"	"L14925c72"	
He	1	"706.571"	"0.010"	"706.570861"	"0.000005"	"30"	"3.0948e+06"	AAA	"[20.96421916817]"	"[22.718466742]"	"1s.2p"	"3P*"	"0"	"1s.3s"	"3S"	"1"	1	3		"T8636c73"	"L366"	
He	1	""	""	"716.055563"	"0.000005"	""	"9.5686e+04"	AAA	"[22.718466742]"	"[24.44947811498]"	"1s.3s"	"3S"	"1"	"1s.10p"	"3P*"	"0"	3	1		"T8636c73"	""	
He	1	""	""	"716.055907"	"0.000005"	""	"9.5686e+04"	AAA	"[22.718466742]"	"[24.44947728263]"	"1s.3s"	"3S"	"1"	"1s.10p"	"3P*"	"1"	3	3		"T8636c73"	""	
He	1	""	""	"716.055935"	"0.000005"	""	"9.5686e+04"	AAA	"[22.718466742]"	"[24.44947721493]"	"1s.3s"	"3S"	"1"	"1s.10p"	"3P*"	"2"	3	5		"T8636c73"	""	
