element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
W	1	"314.554"	"314.5545"	"0.0008"	"50"	"4.8e+05"	C	"0.771099"	"4.711538"	"5d4.6s2"	"5D"	"4"	""	"*"	"4"	9	9		"T4976"	"L153"	
W	2	"314.98530"	"314.985300"	"0.000020"	"58"	"1.22e+07"	B	"1.63328563"	"5.56833604"	"5d4.(5D).6s"	"4D"	"1/2"	""	""	"3/2"	2	4		"T7162"	"L11762"	
W	2	"315.27470"	"315.274606"	"0.000298"	"4"	"4.55e+05"	B	"0.91999511"	"4.85143473"	"5d5"	"6S"	"5/2"	"5d4.(5D).6p"	"6F*"	"3/2"	6	4		"T7162"	"L11762"	
W	2	"316.00214"	"316.002154"	"0.000020"	"79"	"6.38e+06"	B	"1.84205307"	"5.76444148"	""	""	"9/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	10	10		"T7162"	"L11762"	
W	1	"317.0206"	"317.0206"	"0.0008"	"60"	"6.0e+05"	B	"0.365913"	"4.275702"	"5d5.(6S).6s"	"7S"	"3"	""	"*"	"2"	7	5		"T4976"	"L153"	
W	2	"317.59446"	"317.594462"	"0.000030"	"44"	"9.78e+06"	B	"1.66561240"	"5.56833604"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	1	"317.6601"	"317.6600"	"0.0008"	"150"	"2.12e+06"	B	"0.207090"	"4.109007"	"5d4.6s2"	"5D"	"1"	""	"*"	"2"	3	5		"T4976"	"L153"	
W	2	"317.71879"	"317.718808"	"0.000061"	"21"	"5.96e+06"	B	"1.66286851"	"5.56406479"	"5d3.6s2"	"4F"	"7/2"	"5d4.(5D).6p"	"6F*"	"7/2"	8	8		"T7162"	"L11762"	
W	2	"317.80243"	"317.802410"	"0.000061"	"21"	"2.26e+06"	B	"1.31330076"	"5.21347082"	""	""	"3/2"	"5d4.(5D).6p"	"6F*"	"5/2"	4	6		"T7162"	"L11762"	
W	2	"317.94244"	"317.942440"	"0.000051"	"23"	"2.68e+06"	B	"1.66561240"	"5.56406479"	""	""	"5/2"	"5d4.(5D).6p"	"6F*"	"7/2"	6	8		"T7162"	"L11762"	
W	1	"318.3514"	"318.3510"	"0.0008"	"30"	"2.64e+05"	B	"0.365913"	"4.259363"	"5d5.(6S).6s"	"7S"	"3"	""	"*"	"3"	7	7		"T4976"	"L153"	
W	1	"318.4418"	"318.4421"	"0.0008"	"120"	"2.53e+06"	B	"0.412313"	"4.304648"	"5d4.6s2"	"5D"	"2"	""	"*"	"1"	5	3		"T6977"	"L153"	
W	2	"318.84706"	"318.847071"	"0.000203"	"4"	"1.05e+06"	B	"2.01284813"	"5.90024025"	""	""	"5/2"	"5d4.(5D).6p"	"6P*"	"3/2"	6	4		"T7162"	"L11762"	
W	2	"318.92387"	"318.923901"	"0.000041"	"30"	"6.18e+06"	B	"1.87798580"	"5.76444148"	"5d4.(3H).6s"	"4H"	"7/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	8	10		"T7162"	"L11762"	
W	1	"319.1572"	"319.1571"	"0.0008"	"200"	"3.2e+06"	B	"0.000000"	"3.883617"	"5d4.6s2"	"5D"	"0"	""	"*"	"1"	1	3		"T4976"	"L153"	
W	2	"319.38209"	"319.38194"	"0.00020"	"5"	"1.66e+06"	B	"2.3545751"	"6.23545720"	""	""	"3/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	4	6		"T7162"	"L11762"	
W	1	"319.8840"	"319.8840"	"0.0008"	"200"	"4.6e+06"	B	"0.598844"	"4.473635"	"5d4.6s2"	"5D"	"3"	""	"*"	"4"	7	9		"T4976"	"L153"	
W	1	"320.725"	"320.7246"	"0.0008"	"300"	"3.0e+06"	B	"0.365913"	"4.230549"	"5d5.(6S).6s"	"7S"	"3"	""	"*"	"4"	7	9		"T4976"	"L153"	
W	1	"320.828"	"320.8282"	"0.0008"	"200"	"4.4e+06"	B	"0.412313"	"4.275702"	"5d4.6s2"	"5D"	"2"	""	"*"	"2"	5	5		"T4976"	"L153"	
W	1	"321.3136"	"321.3145"	"0.0008"	"12"	"9.7e+04"	C	"0.598844"	"4.456385"	"5d4.6s2"	"5D"	"3"	""	"*"	"3"	7	7		"T4976"	"L153"	
W	1	"321.5562"	"321.5557"	"0.0008"	"200"	"2.1e+07"	B	"0.771099"	"4.625746"	"5d4.6s2"	"5D"	"4"	""	"*"	"5"	9	11		"T4976"	"L153"	
W	2	"321.561598"	"321.561577"	"0.000011"	"108"	"3.00e+06"	B	"1.40114840"	"5.25572576"	"5d3.6s2"	"4F"	"5/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"7/2"	6	8		"T7162"	"L11762"	
