element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
W	2	"364.559582"	"364.559609"	"0.000013"	"134"	"1.46e+06"	B	"1.85576387"	"5.25572576"	""	""	"5/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"7/2"	6	8		"T7162"	"L11762"	
W	2	"364.65801"	"364.658015"	"0.000040"	"39"	"2.10e+06"	B	"1.81442642"	"5.21347082"	"5d4.(5D).6s"	"4D"	"3/2"	"5d4.(5D).6p"	"6F*"	"5/2"	4	6		"T7162"	"L11762"	
W	2	"365.75890"	"365.75890"	"0.00003"	"65"	"6.02e+06"	B	"1.09511870"	"4.48393267"	""	""	"1/2"	""	""	"1/2"	2	2		"T7162"	"L11762"	
W	2	"365.78769"	"365.787677"	"0.000040"	"36"	"2.62e+06"	B	"1.85576387"	"5.24431127"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	2	"365.91242"	"365.912394"	"0.000268"	"4"	"1.65e+05"	B	"2.16190404"	"5.54929653"	"5d4.(3H).6s"	"4H"	"11/2"	""	""	"9/2"	12	10		"T7162"	"L11762"	
W	1	"366.7174"	"366.7185"	"0.0009"	"50"	"1.0e+05"	C	"0.412313"	"3.792260"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5P*"	"3"	5	7		"T4976"	"L153"	
W	1	"366.8658"	"366.8662"	"0.0009"	"60"	"6.6e+06"	B	"2.387469"	"5.766055"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"5"	9	11		"T6977"	"L153"	
W	1	"367.5554"	"367.5552"	"0.0009"	"80"	"1.20e+06"	B	"1.507891"	"4.880143"	"5d4.6s2"	"3H"	"4"	""	"*"	"5"	9	11		"T4976"	"L153"	
W	1	"368.2084"	"368.2097"	"0.0009"	"200"	"2.0e+06"	B	"0.771099"	"4.137358"	"5d4.6s2"	"5D"	"4"	"5d4.6s.(6D).6p"	"5F*"	"5"	9	11		"T4976"	"L153"	
W	2	"369.14738"	"369.147516"	"0.000409"	"3"	"1.60e+05"	B	"1.85576387"	"5.21347082"	""	""	"5/2"	"5d4.(5D).6p"	"6F*"	"5/2"	6	6		"T7162"	"L11762"	
W	1	"370.2310"	"370.2315"	"0.0010"	"50"	"3.2e+06"	C	"1.856810"	"5.204686"	"5d4.6s2"	"3D"	"2"	""	"*"	"2"	5	5		"T6977"	"L153"	
W	1	"370.7922"	"370.7929"	"0.0010"	"300"	"2.9e+06"	B	"0.365913"	"3.708721"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5D*"	"3"	7	7		"T4976"	"L153"	
W	2	"371.60694"	"371.60694"	"0.00003"	"48"	"3.02e+06"	B	"1.87798580"	"5.21347082"	"5d4.(3H).6s"	"4H"	"7/2"	"5d4.(5D).6p"	"6F*"	"5/2"	8	6		"T7162"	"L11762"	
W	1	"372.2235"	"372.2250"	"0.0010"	"60"	"1.19e+07"	B	"2.436108"	"5.766055"	"5d5.(4G).6s"	"5G"	"6"	""	"*"	"5"	13	11		"T6977"	"L153"	
W	2	"372.42961"	"372.42960"	"0.00056"	"2"	"5.70e+05"	B	"2.74499292"	"6.07311043"	"5d4.(3F2).6s"	"4F"	"5/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"3/2"	6	4		"T7162"	"L11762"	
W	1	"373.0419"	"373.0420"	"0.0010"	"60"	"1.16e+07"	B	"2.458116"	"5.780769"	"5d4.6s2"	"3G"	"5"	""	"*"	"4"	11	9		"T6977"	"L153"	
W	2	"373.621222"	"373.621208"	"0.000014"	"141"	"3.42e+06"	B	"2.23179331"	"5.54929653"	""	""	"7/2"	""	""	"9/2"	8	10		"T7162"	"L11762"	
W	1	"374.1706"	"374.1709"	"0.0010"	"30"	"3.6e+06"	C	"1.856810"	"5.169439"	"5d4.6s2"	"3D"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	1	"375.1422"	"375.1431"	"0.0010"	"20"	"2.7e+06"	C	"2.387137"	"5.691182"	"5d4.6s2"	"3P2"	"2"	""	"*"	"2"	5	5		"T6977"	"L153c23"	
W	1	"376.0126"	"376.0123"	"0.0010"	"200"	"1.99e+06"	B	"0.412313"	"3.708721"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5D*"	"3"	5	7		"T4976"	"L153"	
W	1	"376.1608"	"376.1610"	"0.0010"	"10"	"6.2e+06"	B	"2.352539"	"5.647644"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"3"	7	7		"T6977"	"L153"	
W	1	"376.8447"	"376.8445"	"0.0010"	"250"	"3.47e+06"	B	"0.207090"	"3.496218"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5P*"	"1"	3	3		"T4976"	"L153"	
W	1	"376.9207"	"376.9206"	"0.0010"	"50"	"3.8e+06"	B	"1.856810"	"5.145274"	"5d4.6s2"	"3D"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	1	"376.9860"	"376.9866"	"0.0010"	"50"	"5.9e+06"	B	"1.916797"	"5.204686"	"5d4.6s2"	"3D"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	2	"377.41295"	"377.41294"	"0.00010"	"14"	"2.08e+06"	B	"2.95128291"	"6.23545720"	""	""	"7/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	8	6		"T7162"	"L11762"	
W	2	"377.53641"	"377.53643"	"0.00057"	"2"	"3.48e+05"	B	"2.7900103"	"6.07311043"	"5d4.(3D).6s"	"4D"	"3/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"3/2"	4	4		"T7162"	"L11762"	
W	1	"378.0772"	"378.0773"	"0.0010"	"200"	"4.2e+06"	B	"0.365913"	"3.644317"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5P*"	"2"	7	5		"T4976"	"L153"	
W	2	"379.33911"	"379.339065"	"0.000288"	"5"	"2.55e+05"	B	"2.23179331"	"5.49929234"	""	""	"7/2"	""	""	"5/2"	8	6		"T7162"	"L11762"	
W	1	"379.6282"	"379.6281"	"0.0010"	"20"	"1.7e+06"	C	"2.422033"	"5.687044"	"5d5.(4G).6s"	"5G"	"5"	""	"*"	"4"	11	9		"T6977"	"L153"	
W	2	"380.44971"	"380.44974"	"0.00029"	"5"	"8.31e+05"	B	"2.38997285"	"5.64793303"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	1	"380.9220"	"380.9234"	"0.0010"	"150"	"9.0e+05"	B	"0.365913"	"3.619823"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5D*"	"2"	7	5		"T4976"	"L153"	
W	1	"381.0790"	"381.0796"	"0.0010"	"120"	"6.6e+06"	B	"1.708218"	"4.960794"	"5d4.6s2"	"3F2"	"2"	""	"*"	"2"	5	5		"T6977"	"L153"	
W	2	"381.63858"	"381.63930"	"0.00146"	"13bl"	"3.18e+05"	B	"2.85742960"	"6.10523511"	""	""	"7/2"	""	""	"5/2"	8	6		"T7162"	"L11762"	
W	1	"381.7480"	"381.7484"	"0.0010"	"400"	"3.1e+06"	B	"0.365913"	"3.612790"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5F*"	"3"	7	7		"T4976"	"L153"	
W	1	"382.0110"	"382.0103"	"0.0010"	"50"	"2.72e+06"	B	"2.037223"	"5.281874"	"5d4.6s2"	"3G"	"4"	""	"*"	"3"	9	7		"T6977"	"L153"	
W	2	"382.30564"	"382.30565"	"0.00016"	"9"	"1.31e+06"	B	"2.4057883"	"5.64793303"	""	""	"1/2"	""	""	"3/2"	2	4		"T7162"	"L11762"	
W	1	"382.9128"	"382.9126"	"0.0010"	"50"	"3.83e+05"	C	"0.207090"	"3.444095"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5D*"	"1"	3	3		"T4976"	"L153"	
W	1	"383.4040"	"383.4033"	"0.0010"	"15"	"3.8e+06"	C	"2.458319"	"5.691182"	"5d5.(4P).6s"	"5P"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	1	"383.5058"	"383.5052"	"0.0010"	"250"	"5.2e+06"	B	"0.412313"	"3.644317"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5P*"	"2"	5	5		"T4976"	"L153"	
W	1	"384.6218"	"384.6213"	"0.0010"	"300"	"2.14e+06"	B	"0.207090"	"3.429715"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5F*"	"2"	3	5		"T4976"	"L153"	
W	1	"384.7498"	"384.7490"	"0.0010"	"150"	"8.3e+05"	B	"0.000000"	"3.221556"	"5d4.6s2"	"5D"	"0"	"5d4.6s.(6D).6p"	"5F*"	"1"	1	3		"T4976"	"L153"	
W	2	"385.11114"	"385.11119"	"0.00022"	"7"	"2.08e+05"	B	"2.54591521"	"5.76444148"	""	""	"11/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	12	10		"T7162"	"L11762"	
W	2	"385.15632"	"385.15632"	"0.00003"	"70"	"3.04e+06"	B	"1.63328563"	"4.85143473"	"5d4.(5D).6s"	"4D"	"1/2"	"5d4.(5D).6p"	"6F*"	"3/2"	2	4		"T7162"	"L11762"	
W	2	"385.68223"	"385.68224"	"0.00030"	"7"	"1.09e+06"	B	"2.3545751"	"5.56833604"	""	""	"3/2"	""	""	"3/2"	4	4		"T7162"	"L11762"	
W	2	"385.74759"	"385.74753"	"0.00045"	"3"	"1.55e+05"	B	"2.43471602"	"5.64793303"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	1	"385.9303"	"385.9290"	"0.0010"	"60"	"1.27e+07"	B	"2.246202"	"5.457908"	"5d5.(4G).6s"	"5G"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	1	"386.4343"	"386.4339"	"0.0010"	"60"	"5.6e+05"	B	"0.412313"	"3.619823"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5D*"	"2"	5	5		"T4976"	"L153"	
W	1	"386.6055"	"386.6043"	"0.0010"	"25"	"3.5e+06"	B	"1.708218"	"4.914315"	"5d4.6s2"	"3F2"	"2"	""	"*"	"1"	5	3		"T6977"	"L153"	
W	1	"386.7986"	"386.7982"	"0.0010"	"600"	"4.6e+06"	B	"0.365913"	"3.570403"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"7D*"	"4"	7	9		"T4976"	"L153"	
W	2	"387.26543"	"387.26546"	"0.00014"	"11"	"6.41e+05"	B	"2.01284813"	"5.21347082"	""	""	"5/2"	"5d4.(5D).6p"	"6F*"	"5/2"	6	6		"T7162"	"L11762"	
W	2	"387.38696"	"387.38708"	"0.00045"	"3"	"2.48e+05"	B	"2.36444686"	"5.56406479"	""	""	"9/2"	"5d4.(5D).6p"	"6F*"	"7/2"	10	8		"T7162"	"L11762"	
W	1	"387.5684"	"387.5682"	"0.0011"	"40"	"9.3e+06"	C	"1.856810"	"5.054932"	"5d4.6s2"	"3D"	"2"	""	"*"	"1"	5	3		"T6977"	"L153"	
W	1	"388.1405"	"388.1394"	"0.0011"	"250"	"3.6e+06"	B	"0.598844"	"3.792260"	"5d4.6s2"	"5D"	"3"	"5d4.6s.(6D).6p"	"5P*"	"3"	7	7		"T4976"	"L153"	
W	1	"388.3832"	"388.3825"	"0.0011"	"20"	"4.6e+06"	B	"2.266491"	"5.457908"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	1	"389.0746"	"389.0745"	"0.0011"	"12"	"7.5e+06"	C	"2.266491"	"5.452232"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"2"	5	5		"T6977"	"L153"	
W	1	"389.2724"	"389.2722"	"0.0011"	"40"	"2.71e+06"	B	"1.655011"	"4.839134"	"5d4.6s2"	"3G"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	2	"389.97767"	"389.97772"	"0.00023"	"6"	"1.34e+06"	B	"2.38997285"	"5.56833604"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	2	"391.54651"	"391.54648"	"0.00015"	"9"	"1.23e+06"	B	"2.90748128"	"6.07311043"	"5d4.(3D).6s"	"4D"	"5/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"3/2"	6	4		"T7162"	"L11762"	
W	1	"392.4362"	"392.4361"	"0.0011"	"10"	"2.8e+06"	C	"2.532729"	"5.691182"	"5d5.(4P).6s"	"5P"	"1"	""	"*"	"2"	3	5		"T6977"	"L153"	
W	1	"392.4687"	"392.4689"	"0.0011"	"10"	"3.0e+06"	B	"2.352539"	"5.510728"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"3"	7	7		"T6977"	"L153"	
W	2	"392.83478"	"392.83483"	"0.00077"	"2"	"5.71e+05"	B	"2.74499292"	"5.90024025"	"5d4.(3F2).6s"	"4F"	"5/2"	"5d4.(5D).6p"	"6P*"	"3/2"	6	4		"T7162"	"L11762"	
W	1	"393.0232"	"393.0244"	"0.0011"	"12"	"3.6e+06"	C	"2.458116"	"5.611841"	"5d4.6s2"	"3G"	"5"	""	"*"	"4"	11	9		"T6977"	"L153"	
W	1	"393.0474"	"393.0487"	"0.0011"	"15"	"2.37e+06"	B	"1.856810"	"5.010340"	"5d4.6s2"	"3D"	"2"	""	"*"	"1"	5	3		"T6977"	"L153c23"	
W	2	"393.54325"	"393.54325"	"0.00005"	"39"	"3.09e+06"	B	"1.63328563"	"4.78285325"	"5d4.(5D).6s"	"4D"	"1/2"	""	""	"1/2"	2	2		"T7162"	"L11762"	
W	2	"394.15034"	"394.15026"	"0.00078"	"2"	"3.20e+05"	B	"2.3545751"	"5.49929234"	""	""	"3/2"	""	""	"5/2"	4	6		"T7162"	"L11762"	
W	2	"395.54613"	"395.54611"	"0.00031"	"4"	"6.01e+05"	B	"2.43471602"	"5.56833604"	""	""	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	1	"395.8874"	"395.8877"	"0.0011"	"20"	"1.96e+06"	B	"1.708218"	"4.839134"	"5d4.6s2"	"3F2"	"2"	""	"*"	"2"	5	5		"T6977"	"L153"	
W	2	"396.08582"	"396.08601"	"0.00031"	"5"	"4.24e+05"	B	"2.43471602"	"5.56406479"	""	""	"5/2"	"5d4.(5D).6p"	"6F*"	"7/2"	6	8		"T7162"	"L11762"	
W	1	"396.4992"	"396.4995"	"0.0011"	"10"	"1.0e+05"	B	"0.771099"	"3.897184"	"5d4.6s2"	"5D"	"4"	"5d4.6s.(6D).6p"	"5F*"	"4"	9	9		"T4976"	"L153"	
W	1	"396.8502"	"396.8506"	"0.0011"	"6"	"5.07e+05"	D	"1.181329"	"4.304648"	"5d4.6s2"	"3P2"	"0"	""	"*"	"1"	1	3		"T4976"	"L153"	
W	1	"396.8590"	"396.8584"	"0.0011"	"20"	"9.3e+06"	C	"2.387469"	"5.510728"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"3"	9	7		"T6977"	"L153"	
W	1	"397.5470"	"397.5461"	"0.0011"	"12"	"4.1e+05"	C	"1.507891"	"4.625746"	"5d4.6s2"	"3H"	"4"	""	"*"	"5"	9	11		"T4976"	"L153"	
W	1	"397.5896"	"397.5888"	"0.0011"	"8"	"5.9e+06"	B	"2.120999"	"5.238520"	"5d4.6s2"	"3F2"	"4"	""	"*"	"3"	9	7		"T6977"	"L153"	
W	1	"397.9290"	"397.9281"	"0.0011"	"30"	"8.6e+06"	B	"1.916797"	"5.031659"	"5d4.6s2"	"3D"	"3"	""	"*"	"4"	7	9		"T6977"	"L153"	
W	2	"397.93720"	"397.93736"	"0.00063"	"2"	"4.08e+05"	B	"3.1206670"	"6.23545720"	""	""	"3/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	4	6		"T7162"	"L11762"	
W	1	"398.2874"	"398.2859"	"0.0011"	"6"	"1.39e+07"	C	"2.246202"	"5.358266"	"5d5.(4G).6s"	"5G"	"2"	""	"*"	"1"	5	3		"T6977"	"L153"	
W	1	"398.5668"	"398.5661"	"0.0011"	"5"	"1.74e+04"	D	"0.598844"	"3.708721"	"5d4.6s2"	"5D"	"3"	"5d4.6s.(6D).6p"	"5D*"	"3"	7	7		"T4976"	"L153"	
W	2	"398.63761"	"398.63753"	"0.00032"	"4"	"3.13e+05"	B	"2.38997285"	"5.49929234"	""	""	"5/2"	""	""	"5/2"	6	6		"T7162"	"L11762"	
W	2	"399.04018"	"399.04036"	"0.00064"	"3"	"6.59e+05"	B	"2.7940595"	"5.90024025"	""	""	"1/2"	"5d4.(5D).6p"	"6P*"	"3/2"	2	4		"T7162"	"L11762"	
W	2	"399.24691"	"399.24685"	"0.00021"	"6"	"7.93e+05"	B	"2.74499292"	"5.84956717"	"5d4.(3F2).6s"	"4F"	"5/2"	""	""	"3/2"	6	4		"T7162"	"L11762"	
W	1	"399.8756"	"399.8756"	"0.0011"	"15"	"1.24e+07"	C	"2.352539"	"5.452232"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	1	"400.1380"	"400.1366"	"0.0011"	"20"	"5.6e+05"	B	"1.507891"	"4.605562"	"5d4.6s2"	"3H"	"4"	""	"*"	"4"	9	9		"T4976"	"L153"	
W	1	"400.87506"	"400.8749"	"0.0011"	"1000"	"1.63e+07"	B	"0.365913"	"3.457880"	"5d5.(6S).6s"	"7S"	"3"	"5d5.(6S).6p"	"7P*"	"4"	7	9		"T7858"	"L11762"	
W	2	"401.69185"	"401.69208"	"0.00048"	"3"	"1.18e+05"	B	"3.6378732"	"6.7235493"	""	""	"9/2"	"5d4.(5D).6p"	"6F*"	"11/2"	10	12		"T7162"	"L11762"	
W	1	"401.9227"	"401.9228"	"0.0011"	"60"	"6.7e+05"	B	"0.412313"	"3.496218"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5P*"	"1"	5	3		"T4976"	"L153"	
W	1	"402.8786"	"402.8783"	"0.0011"	"40"	"2.48e+06"	B	"1.181329"	"4.257920"	"5d4.6s2"	"3P2"	"0"	""	"*"	"1"	1	3		"T6977"	"L153"	
W	1	"403.5356"	"403.5356"	"0.0011"	"12"	"2.90e+06"	B	"1.916797"	"4.988377"	"5d4.6s2"	"3D"	"3"	""	"*"	"4"	7	9		"T6977"	"L153"	
W	1	"403.6855"	"403.6855"	"0.0011"	"40"	"1.49e+07"	B	"2.387469"	"5.457908"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"3"	9	7		"T6977"	"L153"	
W	1	"404.3894"	"404.3893"	"0.0011"	"8"	"1.42e+07"	C	"2.387137"	"5.452232"	"5d4.6s2"	"3P2"	"2"	""	"*"	"2"	5	5		"T6977"	"L153"	
W	2	"404.44231"	"404.44246"	"0.00082"	"3p"	"6.9e+04"	B	"2.48460391"	"5.54929653"	""	""	"7/2"	""	""	"9/2"	8	10		"T7162"	"L11762"	
W	1	"404.5594"	"404.5600"	"0.0011"	"100"	"2.88e+06"	B	"0.365913"	"3.429715"	"5d5.(6S).6s"	"7S"	"3"	"5d4.6s.(6D).6p"	"5F*"	"2"	7	5		"T4976"	"L153"	
W	1	"404.7938"	"404.7933"	"0.0011"	"12"	"5.0e+04"	C	"0.207090"	"3.269126"	"5d4.6s2"	"5D"	"1"	""	"*"	"2"	3	5		"T4976"	"L153"	
W	1	"405.3932"	"405.3933"	"0.0012"	"15"	"4.9e+06"	B	"1.856810"	"4.914315"	"5d4.6s2"	"3D"	"2"	""	"*"	"1"	5	3		"T6977"	"L153"	
W	1	"405.523"	"405.5228"	"0.0012"	"5"	"1.79e+05"	C	"1.655011"	"4.711538"	"5d4.6s2"	"3G"	"3"	""	"*"	"4"	7	9		"T4976"	"L153"	
W	2	"406.05486"	"406.05496"	"0.00033"	"4"	"6.39e+05"	B	"3.1829346"	"6.23545720"	""	""	"5/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	6	6		"T7162"	"L11762"	
W	1	"406.0705"	"406.0700"	"0.0012"	"12"	"5.9e+06"	B	"2.458319"	"5.510728"	"5d5.(4P).6s"	"5P"	"3"	""	"*"	"3"	7	7		"T6977"	"L153"	
W	1	"406.4791"	"406.4785"	"0.0012"	"40"	"1.59e+07"	B	"2.387469"	"5.436811"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"3"	9	7		"T6977"	"L153"	
W	1	"406.9950"	"406.9948"	"0.0012"	"80"	"3.60e+06"	B	"0.598844"	"3.644317"	"5d4.6s2"	"5D"	"3"	"5d4.6s.(6D).6p"	"5P*"	"2"	7	5		"T4976"	"L153"	
W	1	"407.0608"	"407.0598"	"0.0012"	"60"	"5.7e+05"	B	"0.207090"	"3.252077"	"5d4.6s2"	"5D"	"1"	"5d5.(6S).6p"	"7P*"	"2"	3	5		"T6977"	"L153"	
W	1	"407.1928"	"407.1923"	"0.0012"	"25"	"3.29e+06"	B	"1.916797"	"4.960794"	"5d4.6s2"	"3D"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	1	"407.4358"	"407.4357"	"0.0012"	"600"	"1.0e+07"	B	"0.365913"	"3.408091"	"5d5.(6S).6s"	"7S"	"3"	"5d5.(6S).6p"	"7P*"	"3"	7	7		"T4976"	"L153"	
W	2	"408.12927"	"408.12929"	"0.00005"	"31"	"1.21e+06"	B	"1.81442642"	"4.85143473"	"5d4.(5D).6s"	"4D"	"3/2"	"5d4.(5D).6p"	"6F*"	"3/2"	4	4		"T7162"	"L11762"	
W	1	"408.8330"	"408.8329"	"0.0012"	"30"	"4.13e+05"	C	"0.412313"	"3.444095"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5D*"	"1"	5	3		"T4976"	"L153"	
W	1	"410.2702"	"410.2701"	"0.0012"	"100"	"4.9e+06"	B	"0.771099"	"3.792260"	"5d4.6s2"	"5D"	"4"	"5d4.6s.(6D).6p"	"5P*"	"3"	9	7		"T4976"	"L153"	
W	1	"410.2942"	"410.2949"	"0.0012"	"4"	"4.2e+04"	C	"0.598844"	"3.619823"	"5d4.6s2"	"5D"	"3"	"5d4.6s.(6D).6p"	"5D*"	"2"	7	5		"T4976"	"L153"	
W	1	"410.7816"	"410.7812"	"0.0012"	"5"	"1.1e+04"	E	"0.412313"	"3.429715"	"5d4.6s2"	"5D"	"2"	"5d4.6s.(6D).6p"	"5F*"	"2"	5	5		"T4976"	"L153"	
W	1	"411.0572"	"411.0562"	"0.0012"	"8"	"2.16e+06"	B	"2.266491"	"5.281874"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	1	"411.1815"	"411.1813"	"0.0012"	"25"	"1.6e+05"	B	"0.207090"	"3.221556"	"5d4.6s2"	"5D"	"1"	"5d4.6s.(6D).6p"	"5F*"	"1"	3	3		"T4976"	"L153"	
W	2	"411.41802"	"411.41798"	"0.00022"	"7"	"3.58e+05"	B	"2.75170914"	"5.76444148"	""	""	"7/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	8	10		"T7162"	"L11762"	
W	1	"411.5585"	"411.5576"	"0.0012"	"12"	"4.8e+05"	C	"1.868433"	"4.880143"	"5d4.6s2"	"3H"	"5"	""	"*"	"5"	11	11		"T4976"	"L153"	
W	1	"411.8052"	"411.8050"	"0.0012"	"25"	"9.3e+06"	B	"2.352539"	"5.362441"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"4"	7	9		"T6977"	"L153"	
W	1	"412.0854"	"412.0857"	"0.0012"	"15"	"1.96e+06"	B	"1.916797"	"4.924647"	"5d4.6s2"	"3D"	"3"	""	"*"	"4"	7	9		"T6977"	"L153"	
W	1	"412.2014"	"412.2013"	"0.0012"	"12"	"5.1e+06"	B	"2.352539"	"5.359547"	"5d5.(4G).6s"	"5G"	"3"	""	"*"	"2"	7	5		"T6977"	"L153"	
W	1	"412.5164"	"412.5178"	"0.0012"	"20"	"3.1e+06"	B	"2.037223"	"5.041923"	"5d4.6s2"	"3G"	"4"	""	"*"	"3"	9	7		"T6977"	"L153"	
W	2	"412.69894"	"412.69895"	"0.00010"	"13"	"2.83e+05"	B	"2.54591521"	"5.54929653"	""	""	"11/2"	""	""	"9/2"	12	10		"T7162"	"L11762"	
W	1	"413.2202"	"413.2207"	"0.0012"	"10"	"5.9e+06"	B	"2.458319"	"5.457908"	"5d5.(4P).6s"	"5P"	"3"	""	"*"	"3"	7	7		"T6977"	"L153"	
W	1	"413.7457"	"413.7464"	"0.0012"	"80"	"8.4e+05"	B	"0.412313"	"3.408091"	"5d4.6s2"	"5D"	"2"	"5d5.(6S).6p"	"7P*"	"3"	5	7		"T4976"	"L153"	
W	2	"413.76117"	"413.76121"	"0.00009"	"19"	"9.07e+05"	B	"1.85576387"	"4.85143473"	""	""	"5/2"	"5d4.(5D).6p"	"6F*"	"3/2"	6	4		"T7162"	"L11762"	
W	1	"413.9318"	"413.9318"	"0.0012"	"10"	"3.3e+06"	C	"2.037223"	"5.031659"	"5d4.6s2"	"3G"	"4"	""	"*"	"4"	9	9		"T6977"	"L153"	
W	1	"414.2253"	"414.2249"	"0.0012"	"25"	"5.0e+06"	B	"2.246202"	"5.238520"	"5d5.(4G).6s"	"5G"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	2	"415.70309"	"415.70307"	"0.00010"	"14"	"5.78e+05"	B	"2.23179331"	"5.21347082"	""	""	"7/2"	"5d4.(5D).6p"	"6F*"	"5/2"	8	6		"T7162"	"L11762"	
W	1	"416.0341"	"416.0346"	"0.0012"	"8"	"6.0e+06"	B	"2.786753"	"5.766055"	"5d5.(4D).6s"	"5D"	"4"	""	"*"	"5"	9	11		"T6977"	"L153"	
W	1	"417.0526"	"417.0527"	"0.0012"	"30"	"8.1e+06"	B	"2.266491"	"5.238520"	"5d5.(6S).6s"	"5S"	"2"	""	"*"	"3"	5	7		"T6977"	"L153"	
W	1	"417.1174"	"417.1186"	"0.0012"	"60"	"8.6e+05"	B	"0.598844"	"3.570403"	"5d4.6s2"	"5D"	"3"	"5d4.6s.(6D).6p"	"7D*"	"4"	7	9		"T4976"	"L153"	
W	2	"417.55876"	"417.55876"	"0.00005"	"36"	"2.80e+06"	B	"1.81442642"	"4.78285325"	"5d4.(5D).6s"	"4D"	"3/2"	""	""	"1/2"	4	2		"T7162"	"L11762"	
W	2	"418.31146"	"418.31148"	"0.00070"	"3"	"2.13e+05"	B	"2.53620688"	"5.49929234"	"5d4.(3F2).6s"	"4F"	"3/2"	""	""	"5/2"	4	6		"T7162"	"L11762"	
W	1	"418.3655"	"418.3659"	"0.0012"	"10"	"3.0e+06"	B	"2.241985"	"5.204686"	"5d4.6s2"	"3D"	"1"	""	"*"	"2"	3	5		"T6977"	"L153"	
W	1	"418.6071"	"418.6071"	"0.0012"	""	"2.22e+06"	B	"2.194667"	"5.155660"	"5d4.6s2"	"3F2"	"3"	""	"*"	"2"	7	5		"T6977"	"L14798"	
W	1	"420.0020"	"420.0028"	"0.0014"	"15"	"3.12e+06"	B	"2.037223"	"4.988377"	"5d4.6s2"	"3G"	"4"	""	"*"	"4"	9	9		"T6977"	"L153"	
W	1	"420.3816"	"420.3816"	"0.0014"	"15"	"4.9e+05"	C	"1.507891"	"4.456385"	"5d4.6s2"	"3H"	"4"	""	"*"	"3"	9	7		"T4976"	"L153"	
W	1	"420.4405"	"420.4408"	"0.0014"	"30"	"5.2e+06"	B	"2.387469"	"5.335548"	"5d5.(4G).6s"	"5G"	"4"	""	"*"	"5"	9	11		"T6977"	"L153"	
