element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Kr	1	"838.490"	"838.4902+"	"15"	"2.08e+05"	D	"11.52611591"	"13.0043697"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"	3	3		"T3774n,u41"	"L6099"	
Kr	1	"841.2428"	"841.2431+"	"10"	"1.79e+06"	C	"11.54582278"	"13.0192391"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	5	5		"T3774n,T3408,T7199"	"L7292"	
Kr	1	"849.821"	"849.8194+"	"30"	"4.8e+05"	D	"11.54582278"	"13.0043697"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	"4s2.4p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"	5	3		"T3774n,u41"	"L6099"	
Kr	1	"850.88728"	"850.88722+"	"200"	"1.811e+07"	A	"10.64363486"	"12.10035133"	"4s2.4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	"4s2.4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	3		"T7199"	"L11281"	
Kr	1	"856.089"	"856.08765+"	"50"	"1.07e+06"	D+	"11.66602815"	"13.11389563"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	"4s2.4p5.(2P*<3/2>).7s"	"2[3/2]*"	"1"	1	3		"T3600n,T7227,u41"	"L6099"	
Kr	1	"869.750"	"869.74890+"	"40"	"5.4e+05"	D+	"11.44465635"	"12.86978209"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	5	3		"T3774n,u41"	"L6099"	
Kr	1	"877.67505"	"877.67504+"	"300"	"2.217e+07"	A+	"10.03240062"	"11.44465635"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	3	5		"T7199"	"L11281"	
Kr	1	"892.86933"	"892.86931+"	"200"	"2.289e+07"	A	"9.91523229"	"11.30345525"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	5	3		"T7199"	"L11281"	
Kr	1	"896.753"	"896.7525+"	"10"	"6.5e+04"	D+	"11.44304735"	"12.8252590"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	"4s2.4p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	7	5		"T3774n,u41"	"L6099"	
Kr	1	"897.799"	"897.7976+"	"50"	"7.3e+05"	D+	"11.44465635"	"12.8252590"	"4s2.4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	"4s2.4p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	5	5		"T3774n,u41"	"L6099"	
Kr	1	"899.919"	"899.9178+"	"30"	"2.13e+06"	C	"11.52611591"	"12.9034659"	"4s2.4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	"4s2.4p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	3	1		"T3774n,T7008"	"L6099"	
