element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Rh	1	"467.503"	"467.5022"	"150"	"6.4e+05"	D+	"0.705590"	"3.356904"	"4d8.(3F).5s"	"a 2F"	"7/2"	"4d8.(3F).5p"	"z 4D*"	"7/2"	8	8		"T5181"	"L3475"	
Rh	1	"472.100"	"472.0995"	"19"	"3.4e+05"	D+	"1.143286"	"3.768781"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"3/2"	6	4		"T5181"	"L3475"	
Rh	1	"474.511"	"474.5116"	"70"	"5.2e+05"	D+	"0.965989"	"3.578139"	"4d8.(3F).5s"	"a 2F"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"5/2"	6	6		"T5181"	"L3475"	
Rh	1	"475.558"	"475.5580"	"12"	"6.0e+05"	C	"1.783164"	"4.389566"	"4d8.(1D).5s"	"b 2D"	"3/2"	"4d8.(3P).5p"	"z 4P*"	"3/2"	4	4		"T5181"	"L3475"	
Rh	1	"484.243"	"484.2407"	"21"	"1.6e+05"	D	"1.143286"	"3.702954"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3F).5p"	"z 4F*"	"7/2"	6	8		"T5181"	"L3475"	
Rh	1	""	"486.5773"	""	"4.2e+05"	D+	"1.833462"	"4.380839"	"4d7.5s2"	"b 4F"	"7/2"	"4d8.(3P).5p"	"z 4P*"	"5/2"	8	6		"T5181"	""	
Rh	1	"496.371"	"496.3703"	"60"	"3.0e+06"	C+	"1.364576"	"3.861696"	"4d8.(3P).5s"	"a 4P"	"1/2"	"4d8.(3F).5p"	"z 4D*"	"1/2"	2	2		"T5181"	"L3475"	
Rh	1	"497.775"	"497.7734"	"60"	"9.8e+05"	C	"1.278700"	"3.768781"	"4d8.(3P).5s"	"a 4P"	"3/2"	"4d8.(3F).5p"	"z 4D*"	"3/2"	4	4		"T5181"	"L3475"	
Rh	1	"497.918"	"497.9164"	"40"	"1.0e+06"	C	"1.483871"	"3.973237"	"4d8.(3P).5s"	"a 2P"	"3/2"	"4d8.(3F).5p"	"z 2D*"	"5/2"	4	6		"T5181"	"L3475"	
Rh	1	"509.063"	"509.0640"	"70"	"5.0e+05"	D+	"1.143286"	"3.578139"	"4d8.(3P).5s"	"a 4P"	"5/2"	"4d8.(3F).5p"	"z 4D*"	"5/2"	6	6		"T5181"	"L3475"	
Rh	1	"512.069"	"512.0679"	"23"	"3.1e+05"	D+	"1.676352"	"4.096923"	"4d8.(1D).5s"	"b 2D"	"5/2"	"4d8.(3F).5p"	"z 2G*"	"7/2"	6	8		"T5181"	"L3475"	
Rh	1	"513.076"	"513.0763"	"19"	"4.3e+05"	D+	"1.783164"	"4.198978"	"4d8.(1D).5s"	"b 2D"	"3/2"	"4d8.(3F).5p"	"z 2D*"	"3/2"	4	4		"T5181"	"L3475"	
