element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Pt	2	"262.53270"	"0.00008"	"262.53269"	"0.00004"	"1200"	"2.9e+06"	D+	"1.6526197"	"6.3738309"	"5d8.6s"	"4P"	"5/2"	"5d8.(3F).6p"	"(4,1/2)*"	"7/2"	6	8		"T8261"	"L10146"	
Pt	1	"262.802681"	"0.000009"	"262.802678"	"0.000009"	"58000"	"5.94e+07"	B+	"0.09619638"	"4.81255750"	"5d9.6s"	"a 1D"	"2"	"5d8.6s.(2D).6p"	"a 3F*"	"2"	5	5		"T3313n"	"L9083,L11529"	
Pt	1	"263.93454"	"0.00020"	"263.93455"	"0.00003"	"5500"	"1.46e+07"	B	"0.81426023"	"5.5103966"	"5d9.6s"	"3D"	"2"	"5d8.6s.(4F).6p"	"5F*"	"2"	5	5		"T3313"	"L11529"	
Pt	1	"264.68804"	"0.00007"	"264.688104"	"0.000012"	"27000"	"2.21e+07"	B+	"0.00000000"	"4.6827675"	"5d9.6s"	"3D"	"3"	"5d9.6p"	"3D*"	"3"	7	7		"T3313n"	"L11529"	
Pt	1	"265.085269"	"0.000011"	"265.085268"	"0.000011"	"90000"	"9.60e+06"	B+	"0.10212092"	"4.77787291"	"5d8.6s2"	"3F"	"4"	"5d8.6s.(4F).6p"	"b 5F*"	"5"	9	11		"T3313"	"L9083,L11529"	
Pt	1	"265.81694"	"0.00007"	"265.816830"	"0.000016"	"460"	"4.9e+06"	C	"1.25619158"	"5.9190761"	"5d9.6s"	"3D"	"1"	"5d9.6p"	"1P*"	"1"	3	3		"T4200n,T3313"	"L11529"	
Pt	1	"265.945075"	"0.000010"	"265.945076"	"0.000009"	"160000"	"9.90e+07"	B+	"0.00000000"	"4.66063603"	"5d9.6s"	"3D"	"3"	"5d9.6p"	"3F*"	"4"	7	9		"T3313"	"L9083,L11529"	
Pt	1	"267.45700"	"0.00007"	"267.45698"	"0.00003"	"2600"	"2.91e+06"	B	"0.81426023"	"5.4485518"	"5d9.6s"	"3D"	"2"	"5d8.6s.(4P).6p"	"a 5P*"	"3"	5	7		"T3313n"	"L11529"	
Pt	1	"267.71477"	"0.00007"	"267.714787"	"0.000022"	"15000"	"1.16e+07"	B+	"0.00000000"	"4.6298290"	"5d9.6s"	"3D"	"3"	"5d9.6p"	"b 3P*"	"2"	7	5		"T3313n"	"L11529"	
Pt	2	"267.91270"	"0.00008"	"267.91273"	"0.00004"	"410w"	"3.4e+06"	D+	"2.9601934"	"7.5866019"	"5d8.6s"	"4P"	"3/2"	"5d8.(3F).6p"	"(4,3/2)*"	"5/2"	4	6		"T8261"	"L10146"	
