element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Li	2	""	"318.7723"	"0.0010"	""	"2.0088e+06"	AAA	"69.589060"	"73.477364"	"1s.3d"	"1D"	"2"	"1s.5p"	"1P*"	"1"	5	3		"T8636c73"	""	
Li	2	""	"319.6216"	"0.0010"	""	"1.312e+07"	AA	"69.585282"	"73.463255"	"1s.3d"	"3D"	"2"	"1s.5f"	"1F*"	"3"	5	7		"T8636c73"	""	
Li	2	"319.626"	"319.6318"	"0.0010"	"1*"	"5.1903e+07"	AAA	"69.585282"	"73.463131"	"1s.3d"	"3D"	"2"	"1s.5f"	"3F*"	"3"	5	7		"T8636c73"	"L3501"	
Li	2	"319.626"	"319.6318"	"0.0010"	"1*"	"1.1374e+07"	AAA	"69.585282"	"73.463131"	"1s.3d"	"3D"	"2"	"1s.5f"	"3F*"	"2"	5	5		"T8636c73"	"L3501"	
Li	2	""	"319.6279"	"0.0010"	""	"1.773e+06"	AA	"69.585359"	"73.463255"	"1s.3d"	"3D"	"3"	"1s.5f"	"1F*"	"3"	7	7		"T8636c73"	""	
Li	2	"319.633"	"319.6381"	"0.0010"	"9*"	"7.3144e+07"	AAA	"69.585359"	"73.463131"	"1s.3d"	"3D"	"3"	"1s.5f"	"3F*"	"4"	7	9		"T8636c73"	"L3501"	
Li	2	"319.633"	"319.6381"	"0.0010"	"9*"	"3.2509e+05"	AAA	"69.585359"	"73.463131"	"1s.3d"	"3D"	"3"	"1s.5f"	"3F*"	"2"	7	5		"T8636c73"	"L3501"	
Li	2	"319.633"	"319.6381"	"0.0010"	"9*"	"6.3543e+06"	AAA	"69.585359"	"73.463131"	"1s.3d"	"3D"	"3"	"1s.5f"	"3F*"	"3"	7	7		"T8636c73"	"L3501"	
Li	2	"319.636"	"319.6435"	"0.0010"	"4"	"6.1443e+07"	AAA	"69.585425"	"73.463131"	"1s.3d"	"3D"	"1"	"1s.5f"	"3F*"	"2"	3	5		"T8636c73"	"L3501"	
Li	2	"319.933"	"319.9332"	"0.0010"	"5"	"5.8056e+07"	AAA	"69.589060"	"73.463255"	"1s.3d"	"1D"	"2"	"1s.5f"	"1F*"	"3"	5	7		"T8636c73"	"L3501"	
Li	2	"319.943"	"319.9435"	"0.0010"	"2"	"1.483e+07"	AA	"69.589060"	"73.463131"	"1s.3d"	"1D"	"2"	"1s.5f"	"3F*"	"3"	5	7		"T8636c73"	"L3501"	
Li	2	""	"319.9435"	"0.0010"	""	"4.086e+03"	AA	"69.589060"	"73.463131"	"1s.3d"	"1D"	"2"	"1s.5f"	"3F*"	"2"	5	5		"T8636c73"	""	
Li	1	"323.266"	"323.2657"	"0.0010"	"17*"	"1.002e+06"	AA	"0.000000"	"3.834258"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"3/2"	2	4		"T7401LS"	"L7397"	
Li	1	"323.266"	"323.2657"	"0.0010"	"17*"	"1.002e+06"	AA	"0.000000"	"3.834258"	"1s2.2s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"1/2"	2	2		"T7401LS"	"L7397"	
Li	2	""	"323.6197"	"0.0010"	""	"5.9180e+05"	AAA	"69.585282"	"73.415346"	"1s.3d"	"3D"	"2"	"1s.5p"	"3P*"	"2"	5	5		"T8636c73"	""	
Li	2	""	"323.6262"	"0.0010"	""	"3.3152e+06"	AAA	"69.585359"	"73.415346"	"1s.3d"	"3D"	"3"	"1s.5p"	"3P*"	"2"	7	5		"T8636c73"	""	
Li	2	""	"323.6267"	"0.0010"	""	"2.9592e+06"	AAA	"69.585282"	"73.415263"	"1s.3d"	"3D"	"2"	"1s.5p"	"3P*"	"1"	5	3		"T8636c73"	""	
Li	2	""	"323.6318"	"0.0010"	""	"3.9467e+04"	AAA	"69.585425"	"73.415346"	"1s.3d"	"3D"	"1"	"1s.5p"	"3P*"	"2"	3	5		"T8636c73"	""	
Li	2	""	"323.6388"	"0.0010"	""	"9.8667e+05"	AAA	"69.585425"	"73.415263"	"1s.3d"	"3D"	"1"	"1s.5p"	"3P*"	"1"	3	3		"T8636c73"	""	
Li	2	""	"323.6428"	"0.0010"	""	"3.9467e+06"	AAA	"69.585425"	"73.415216"	"1s.3d"	"3D"	"1"	"1s.5p"	"3P*"	"0"	3	1		"T8636c73"	""	
Li	2	"324.987"	"324.9868"	"0.0010"	""	"5.3551e+07"	AAA	"69.648473"	"73.462427"	"1s.3p"	"1P*"	"1"	"1s.5d"	"1D"	"2"	3	5		"T8636c73"	"L3501"	
