element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
N	5	""	"201.554"	""	"3.63e+07"	B	"88.33534"	"94.4848"	"1s2.6p"	"2P*"	"3/2"	"1s2.10d"	"2D"	"5/2"	4	6		"T3225LS"	""	
N	5	""	"201.610"	""	"3.03e+07"	B	"88.33418"	"94.4819"	"1s2.6p"	"2P*"	"1/2"	"1s2.10d"	"2D"	"3/2"	2	4		"T3225LS"	""	
N	5	""	"201.648"	""	"6.05e+06"	B	"88.33534"	"94.4819"	"1s2.6p"	"2P*"	"3/2"	"1s2.10d"	"2D"	"3/2"	4	4		"T3225LS"	""	
N	3	""	"202.919"	""	"3.96e+05"	C+	"43.82105"	"49.92913"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"	2	4		"T7192LS"	""	
N	3	""	"202.926"	""	"1.98e+06"	B	"43.82129"	"49.92913"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"	4	4		"T7192LS"	""	
N	3	""	"203.253"	""	"1.58e+06"	B	"43.82105"	"49.91909"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"	2	2		"T7192LS"	""	
N	3	""	"203.261"	""	"7.88e+05"	C+	"43.82129"	"49.91909"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"	4	2		"T7192LS"	""	
N	4	""	"203.557"	""	"2.37e+08"	B	"62.44841"	"68.53734"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"3"	5	7		"T5633LS"	""	
N	4	""	"203.562"	""	"6.57e+06"	B	"62.44841"	"68.53718"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"1"	5	3		"T5633LS"	""	
N	4	""	"203.562"	""	"5.91e+07"	B	"62.44841"	"68.53718"	"1s2.2s.4p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"2"	5	5		"T5633LS"	""	
N	4	""	"203.610"	""	"1.77e+08"	B	"62.44984"	"68.53718"	"1s2.2s.4p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"2"	3	5		"T5633LS"	""	
N	4	""	"203.610"	""	"9.85e+07"	B	"62.44984"	"68.53718"	"1s2.2s.4p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"1"	3	3		"T5633LS"	""	
N	4	""	"203.643"	""	"1.31e+08"	B	"62.45082"	"68.53718"	"1s2.2s.4p"	"3P*"	"0"	"1s2.2s.5d"	"3D"	"1"	1	3		"T5633LS"	""	
N	5	""	"204.352"	""	"1.29e+07"	B	"88.33418"	"[94.39942]"	"1s2.6p"	"2P*"	"1/2"	"1s2.10s"	"2S"	"1/2"	2	2		"T3225LS"	""	
N	5	""	"204.391"	""	"2.58e+07"	B	"88.33534"	"[94.39942]"	"1s2.6p"	"2P*"	"3/2"	"1s2.10s"	"2S"	"1/2"	4	2		"T3225LS"	""	
N	2	""	"204.4761"	""	"2.11e+07"	B	"21.599539"	"27.661100"	"2s2.2p.3p"	"1D"	"2"	"2s2.2p.6s"	"1P*"	"1"	5	3		"T5520"	""	
N	5	""	"205.531"	""	"1.06e+06"	B	"88.43536"	"[94.46583]"	"1s2.6d"	"2D"	"3/2"	"1s2.10p"	"2P*"	"3/2"	4	4		"T3225LS"	""	
N	5	""	"205.539"	""	"1.06e+07"	B	"88.43536"	"[94.46558]"	"1s2.6d"	"2D"	"3/2"	"1s2.10p"	"2P*"	"1/2"	4	2		"T3225LS"	""	
N	5	""	"205.540"	""	"9.57e+06"	B	"88.43564"	"[94.46583]"	"1s2.6d"	"2D"	"5/2"	"1s2.10p"	"2P*"	"3/2"	6	4		"T3225LS"	""	
N	6	""	"205.61"	""	"1.164e+08"	AA	"532.471"	"538.499"	"1s.5d"	"1D"	"2"	"1s.6p"	"1P*"	"1"	5	3		"T5997"	""	
N	2	""	"206.4989"	""	"1.79e+05"	D	"19.233263"	"25.235454"	"2s.2p3"	"3S*"	"1"	"2s2.2p.4p"	"3S"	"1"	3	3		"T6385"	""	
N	2	""	"207.6947"	""	"5.31e+06"	C+	"19.233263"	"25.200902"	"2s.2p3"	"3S*"	"1"	"2s2.2p.4p"	"3P"	"2"	3	5		"T6385n"	""	
N	2	""	"207.9970"	""	"5.09e+06"	C+	"19.233263"	"25.192229"	"2s.2p3"	"3S*"	"1"	"2s2.2p.4p"	"3P"	"1"	3	3		"T6385n"	""	
N	4	"208.034"	"208.032"	"90"	"7.36e+08"	B	"62.77132"	"68.72929"	"1s2.2p.(2P*<3/2>).3d"	"1F*"	"3"	"1s2.2s.5g"	"1G"	"4"	7	9		"T5600c20"	"L4738"	
N	2	""	"208.1120"	""	"5.27e+06"	C+	"19.233263"	"25.188937"	"2s.2p3"	"3S*"	"1"	"2s2.2p.4p"	"3P"	"0"	3	1		"T6385n"	""	
N	2	""	"208.8657"	""	"5.05e+05"	C	"20.646058"	"26.580245"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.5s"	"3P*"	"2"	3	5		"T5520LS"	""	
N	2	""	"209.1312"	""	"7.54e+06"	C+	"20.653592"	"26.580245"	"2s2.2p.3p"	"3D"	"2"	"2s2.2p.5s"	"3P*"	"2"	5	5		"T5520LS"	""	
N	2	""	"209.4190"	""	"1.25e+07"	C+	"20.646058"	"26.564568"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.5s"	"3P*"	"1"	3	3		"T5520LS"	""	
N	2	"209.553"	"209.5529"	"160"	"4.20e+07"	C+	"20.665518"	"26.580245"	"2s2.2p.3p"	"3D"	"3"	"2s2.2p.5s"	"3P*"	"2"	7	5		"T5520LS"	"L3513"	
N	2	"209.620"	"209.6198"	"70"	"4.99e+07"	C+	"20.646058"	"26.558898"	"2s2.2p.3p"	"3D"	"1"	"2s2.2p.5s"	"3P*"	"0"	3	1		"T5520LS"	"L3513"	
