element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
B	5	""	""	"298.201420"	"0.000003"	""	"5.9972e+07"	AA	"(326.619739110)"	"(330.776259568)"	"5d"	"2D"	"3/2"	"6p"	"2P*"	"1/2"	4	2		"T8637"	""	
B	2	"303.2258"	"0.0010"	"303.2258"	"0.0010"	"200*"	"1.2e+05"	D	"18.678180"	"22.76583"	"1s2.2s.3d"	"3D"	"1"	"1s2.2s.5p"	"3P*"	"2"	3	5		"u27,LS"	"L12120"	
B	2	"303.2258"	"0.0010"	"303.2258"	"0.0010"	"200*"	"9.25e+06"	C	"18.678180"	"22.76583"	"1s2.2s.3d"	"3D"	"2"	"1s2.2s.5p"	"3P*"	"1"	5	3		"u27,LS"	"L12120"	
B	2	"303.2258"	"0.0010"	"303.2258"	"0.0010"	"200*"	"1.23e+07"	C	"18.678180"	"22.76583"	"1s2.2s.3d"	"3D"	"1"	"1s2.2s.5p"	"3P*"	"0"	3	1		"u27,LS"	"L12120"	
B	2	"303.2258"	"0.0010"	"303.2258"	"0.0010"	"200*"	"1.0e+07"	C	"18.678180"	"22.76583"	"1s2.2s.3d"	"3D"	"3"	"1s2.2s.5p"	"3P*"	"2"	7	5		"u27,LS"	"L12120"	
B	2	"303.2258"	"0.0010"	"303.2262"	"0.0010"	"200*"	"4.19e+07"	C	"17.062984"	"21.150629"	"1s2.2s.3s"	"1S"	"0"	"1s2.2s.4p"	"1P*"	"1"	1	3		"u27"	"L12120"	
B	2	""	""	"303.226"	"0.004"	""	"3.1e+06"	D	"18.678180"	"22.76583"	"1s2.2s.3d"	"3D"	"1"	"1s2.2s.5p"	"3P*"	"1"	3	3		"u27,LS"	""	
B	2	""	""	"303.226"	"0.003"	""	"1.9e+06"	D	"18.678180"	"22.76583"	"1s2.2s.3d"	"3D"	"2"	"1s2.2s.5p"	"3P*"	"2"	5	5		"u27,LS"	""	
B	2	""	""	"312.9591"	"0.0016"	""	"6.2e+05"	D	"19.178635"	"23.139161"	"1s2.2s.3d"	"1D"	"2"	"1s2.2p.3s"	"1P*"	"1"	5	3		"u27"	""	
B	2	"317.9331"	"0.0010"	"317.9330"	"0.0010"	"140"	"5.29e+07"	B	"17.866488"	"21.765055"	"1s2.2s.3p"	"1P*"	"1"	"1s2.2s.4d"	"1D"	"2"	3	5		"u27"	"L12120"	
B	2	""	""	"322.206"	"0.003"	""	"3.6e+04"	D	"18.678180"	"22.52505"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3s"	"3P*"	"2"	3	5		"u27,LS"	""	
B	2	""	""	"322.206"	"0.003"	""	"5.4e+05"	D	"18.678180"	"22.52505"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3s"	"3P*"	"2"	5	5		"u27,LS"	""	
