element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ba	2	"649.6898"	"0.0010"	"649.6898+"	"900"	"3.10e+07"	B	"0.6042806"	"2.5121134"	"5d"	"2D"	"3/2"	"6p"	"2P*"	"1/2"	4	2		"T5855"	"L9224"	
Ba	1	"649.8760"	"0.0010"	"649.8760+"	"1060"	"5.4e+07"	C+	"1.1898185"	"3.0971047"	"6s.5d"	"3D"	"3"	"5d.6p"	"3D*"	"3"	7	7		"T5495"	"L9224"	
Ba	1	"652.7311"	"0.0010"	"652.7311+"	"890"	"3.3e+07"	B	"1.1425765"	"3.0415200"	"6s.5d"	"3D"	"2"	"5d.6p"	"3D*"	"2"	5	5		"T5037,T5495"	"L9224"	
Ba	1	"659.5325"	"0.0010"	"659.5326+"	"740"	"3.8e+07"	B+	"1.1200690"	"2.9994298"	"6s.5d"	"3D"	"1"	"5d.6p"	"3D*"	"1"	3	3		"T5037,T5495"	"L9224"	
Ba	1	"667.5270"	"0.0010"	"667.5270+"	"462"	"1.89e+07"	B+	"1.1425765"	"2.9994298"	"6s.5d"	"3D"	"2"	"5d.6p"	"3D*"	"1"	5	3		"T5037,T5495"	"L9224"	
Ba	1	"669.3842"	"0.0010"	"669.3842+"	"454"	"1.46e+07"	B	"1.1898185"	"3.0415200"	"6s.5d"	"3D"	"3"	"5d.6p"	"3D*"	"2"	7	5		"T5037,T5495"	"L9224"	
Ba	2	"676.9477"	"0.0010"	"676.9480+"	"6"	"9.4e+07"	C	"5.9833059"	"7.8143180u"	"4f"	"2F*"	"5/2"	"5g"	"2G"	"7/2"	6	8		"T3225,T7387"	"L9224"	
Ba	1	"686.5686"	"0.0010"	"686.5686+"	"62"	"7.8e+06"	E	"1.4128433"	"3.2181982"	"6s.5d"	"1D"	"2"	"5d.6p"	"3P*"	"2"	5	5		"T4515"	"L9224"	
Ba	2	"687.4079"	"0.0010"	"687.4078+"	"7*"	"9.3e+07"	C	"6.0111671"	"7.8143180u"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"9/2"	8	10		"T3225,T7387"	"L9224"	
Ba	2	"687.4079"	"0.0010"	"687.4078+"	"7*"	"9.3e+07"	C	"6.0111671"	"7.8143180u"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"7/2"	8	8		"T3225,T7387"	"L9224"	
Ba	1	"705.9943"	"0.0010"	"705.9943+"	"770"	"5.0e+07"	C	"1.1898185"	"2.9454987"	"6s.5d"	"3D"	"3"	"5d.6p"	"3F*"	"4"	7	9		"T5495"	"L9224"	
Ba	1	"712.0331"	"0.0010"	"712.0331+"	"530"	"1.1e+07"	C	"1.1200690"	"2.8608594"	"6s.5d"	"3D"	"1"	"5d.6p"	"1D*"	"2"	3	5		"T5037"	"L9224"	
Ba	1	"719.5230"	"0.0010"	"719.5229+"	"53"	"5.6e+06"	C+	"1.5207932"	"3.2434630"	"6s.6p"	"3P*"	"0"	"6s.7s"	"3S"	"1"	1	3		"T5495"	"L9224"	
Ba	1	"728.0296"	"0.0010"	"728.0296+"	"1280"	"3.2e+07"	C+	"1.1425765"	"2.8451178"	"6s.5d"	"3D"	"2"	"5d.6p"	"3F*"	"3"	5	7		"T5037,T5495"	"L9224"	
Ba	1	"739.2405"	"0.0010"	"739.2406+"	"143"	"1.8e+07"	C+	"1.5667416"	"3.2434630"	"6s.6p"	"3P*"	"1"	"6s.7s"	"3S"	"1"	3	3		"T5495"	"L9224"	
Ba	1	"741.7536"	"0.0010"	"741.7536+"	"30"	"7.7e+05"	C	"1.1898185"	"2.8608594"	"6s.5d"	"3D"	"3"	"5d.6p"	"1D*"	"2"	7	5		"T5037"	"L9224"	
Ba	1	"748.8075"	"0.0010"	"748.8075+"	"253"	"7.3e+06"	C+	"1.1898185"	"2.8451178"	"6s.5d"	"3D"	"3"	"5d.6p"	"3F*"	"3"	7	7		"T5037,T5495"	"L9224"	
Ba	1	"761.0477"	"0.0010"	"761.0478+"	"22"	"1.1e+06"	C	"1.4128433"	"3.0415200"	"6s.5d"	"1D"	"2"	"5d.6p"	"3D*"	"2"	5	5		"T5037"	"L9224"	
Ba	1	"767.2085"	"0.0010"	"767.2085+"	"560"	"1.5e+07"	C	"1.1200690"	"2.7356673"	"6s.5d"	"3D"	"1"	"5d.6p"	"3F*"	"2"	3	5		"T5037"	"L9224"	
Ba	1	"778.0478"	"0.0010"	"778.0479+"	"299"	"7.6e+06"	C	"1.1425765"	"2.7356673"	"6s.5d"	"3D"	"2"	"5d.6p"	"3F*"	"2"	5	5		"T5037"	"L9224"	
Ba	1	"787.7801"	"0.0010"	"787.7798+"	"2"	"1.6e+06"	C+	"2.2391870"	"3.8125974"	"6s.6p"	"1P*"	"1"	"6s.6d"	"3D"	"2"	3	5		"T5495"	"L9224"	
Ba	1	"790.5747"	"0.0010"	"790.5747+"	"150"	"2.6e+07"	C+	"1.6756148"	"3.2434630"	"6s.6p"	"3P*"	"2"	"6s.7s"	"3S"	"1"	5	3		"T5495"	"L9224"	
Ba	1	"791.1329"	"0.0010"	"791.1330+"	"160"	"2.98e+05"	D	"0.0000000"	"1.5667416"	"6s2"	"1S"	"0"	"6s.6p"	"3P*"	"1"	1	3		"T4515"	"L9224"	
Ba	1	"855.9998"	"0.0010"	"855.9998+"	"700"	"2.0e+07"	C+	"1.4128433"	"2.8608594"	"6s.5d"	"1D"	"2"	"5d.6p"	"1D*"	"2"	5	5		"T5037"	"L9224"	
Ba	1	"865.4078"	"0.0010"	"865.4078+"	"13"	"3.1e+05"	D+	"1.4128433"	"2.8451178"	"6s.5d"	"1D"	"2"	"5d.6p"	"3F*"	"3"	5	7		"T5037"	"L9224"	
Ba	2	"871.0768"	"0.0010"	"871.0768+"	"24"	"7.88e+07"	B	"5.7224717"	"7.1454250"	"6d"	"2D"	"5/2"	"5f"	"2F*"	"7/2"	6	8		"T3225,T7387"	"L9224"	
Ba	2	"873.7751"	"0.0010"	"873.7751+"	"18"	"7.29e+07"	B	"5.6970085"	"7.1155675"	"6d"	"2D"	"3/2"	"5f"	"2F*"	"5/2"	4	6		"T3225,T7387"	"L9224"	
Ba	2	"889.7463"	"0.0010"	"889.7462+"	"2"	"4.93e+06"	B	"5.7224717"	"7.1155675"	"6d"	"2D"	"5/2"	"5f"	"2F*"	"5/2"	6	6		"T3225,T7387"	"L9224"	
