element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Y	1	"643.71697"	"0.00010"	"643.71690"	"0.00009"	"24"	"4.9e+06"	C+	"2.29362274"	"4.21915772"	"4d2.(1G).5s"	"a 2G"	"9/2"	"4d2.(3F).5p"	"x 2F*"	"7/2"	10	8		"T4373"	"L7610,L3475"	
Y	1	""	""	"644.38455"	"0.00021"	""	"3.2e+06"	D	"1.98300885"	"3.9065488"	"4d2.(1D).5s"	"b 2D"	"3/2"	"4d2.(3F).5p"	"y 4F*"	"3/2"	4	4		"T4373"	""	
Y	1	"653.8568"	"0.0010"	"653.85696"	"0.00010"	"90"	"1.49e+07"	B	"2.29362274"	"4.18929663"	"4d2.(1G).5s"	"a 2G"	"9/2"	"4d2.(3F).5p"	"z 2G*"	"9/2"	10	10		"T4373"	"L7610,L3475"	
Y	2	"661.3731"	"0.0010"	"661.3732+"	"0.0006"	"95"	"1.7e+06"	D+	"1.7479387"	"3.6220692"	"4d2"	"a 3P"	"2"	"4d.5p"	"z 3D*"	"3"	5	7		"T4373"	"L10987,L3475"	
Y	1	"662.24810"	"0.00010"	"662.24819"	"0.00006"	"14"	"4.5e+05"	D+	"2.29524532"	"4.16689962"	"4d2.(1G).5s"	"a 2G"	"7/2"	"4d2.(3F).5p"	"x 2F*"	"5/2"	8	6		"T4373"	"L7610,L3475"	
Y	1	"670.0702"	"0.0010"	"670.07022"	"0.00006"	"70"	"1.10e+07"	B+	"2.29524532"	"4.14505113"	"4d2.(1G).5s"	"a 2G"	"7/2"	"4d2.(3F).5p"	"z 2G*"	"7/2"	8	8		"T9421"	"L7610,L3475"	
Y	1	"681.51456"	"0.00010"	"681.51454"	"0.00007"	"21"	"7.1e+06"	C	"2.38515941"	"4.20390258"	"4d2.(3P).5s"	"a 2P"	"1/2"	"4d2.(3F).5p"	"x 2D*"	"3/2"	2	4		"T4373"	"L7610,L3475"	
Y	2	"683.2480"	"0.0010"	"683.2481+"	"0.0007"	"14"	"3.3e+05"	C	"1.7479387"	"3.5620673"	"4d2"	"a 3P"	"2"	"4d.5p"	"z 3D*"	"2"	5	5		"T4373"	"L10987,L3475"	
Y	1	"684.51950"	"0.00010"	"684.51939"	"0.00007"	"45"	"7.5e+06"	C	"2.37404732"	"4.18480679"	"4d.5s.(3D).5p"	"z 4P*"	"5/2"	"4d.5s.(3D).6s"	"e 4D"	"7/2"	6	8		"T4373"	"L7610,L3475"	
Y	1	"700.9883"	"0.0010"	"700.98807"	"0.00007"	"10"	"4.4e+06"	C	"2.35276953"	"4.12098815"	"4d.5s.(3D).5p"	"z 4P*"	"1/2"	"4d.5s.(3D).6s"	"e 4D"	"3/2"	2	4		"T4373"	"L7610,L3475"	
Y	1	"703.5150"	"0.0010"	"703.51507"	"0.00007"	"19h"	"6.3e+06"	D+	"2.35912087"	"4.12098815"	"4d.5s.(3D).5p"	"z 4P*"	"3/2"	"4d.5s.(3D).6s"	"e 4D"	"3/2"	4	4		"T4373"	"L7610,L3475"	
Y	1	"705.4189"	"0.0010"	"705.41891"	"0.00011"	"13h"	"8.e+06"	D	"2.35276953"	"4.10988177"	"4d.5s.(3D).5p"	"z 4P*"	"1/2"	"4d.5s.(3D).6s"	"e 4D"	"1/2"	2	2		"T4373"	"L7610,L3475"	
Y	2	"726.4159"	"0.0010"	"726.4161+"	"0.0007"	"35"	"1.3e+06"	D+	"1.8390405"	"3.5453635"	"4d2"	"b 1D"	"2"	"4d.5p"	"z 3D*"	"1"	5	3		"T4373"	"L10987,L3475"	
Y	2	"788.1878"	"0.0010"	"788.1881+"	"0.0009"	"110"	"1.0e+07"	D+	"1.8390405"	"3.4116359"	"4d2"	"b 1D"	"2"	"4d.5p"	"z 1P*"	"1"	5	3		"T4373"	"L10987,L3475"	
