element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Nb	4	"376.1922"	"0.0005"	"376.1926"	"0.0004"	"75000"	"1.9e+07"	C+	"20.7571320"	"24.0519600"	"4d.5d"	"1P"	"1"	"4d.6p"	"3D*"	"2"	3	5		"T2192"	"L12094"	
Nb	4	"376.5487"	"0.0005"	"376.5486"	"0.0011"	"50000"	"5.7e+07"	C+	"27.995270"	"31.286982?"	"4d.6d"	"3P"	"2"	"4d.6f"	"3D*"	"3"	5	7		"T2192"	"L12094"	
Nb	4	"376.9985"	"0.0005"	"376.9985"	"0.0014"	"8000"	"5.4e+07"	C+	"27.800594"	"31.088378?"	"4d.6d"	"3P"	"0"	"4d.6f"	"3D*"	"1"	1	3		"T2192"	"L12094"	
Nb	4	"379.0133"	"0.0005"	"379.0136"	"0.0005"	"25000"	"3.5e+07"	C+	"24.7802605"	"28.050566"	"4d.6p"	"1P*"	"1"	"4d.(2D<5/2>).7s"	"2[5/2]"	"2"	3	5		"T2192"	"L12094"	
Nb	4	"379.9053"	"0.0005"	"379.9058"	"0.0006"	"20000"	"2.3e+07"	C+	"24.1012214"	"27.363846"	"4d.6p"	"3D*"	"3"	"4d.6d"	"1F"	"3"	7	7		"T2192"	"L12094"	
Nb	4	"382.5421"	"0.0005"	"382.5416"	"0.0007"	"5000"	"6.3e+06"	D+	"21.540116"	"24.7802605"	"4d.5d"	"3P"	"2"	"4d.6p"	"1P*"	"1"	5	3		"T2192"	"L12094"	
Nb	4	"382.5697"	"0.0005"	"382.5694"	"0.0004"	"200000"	"1.10e+08"	C+	"24.3488873"	"27.5887965"	"4d.6p"	"1F*"	"3"	"4d.6d"	"3D"	"3"	7	7		"T2192"	"L12094"	
Nb	4	"382.5877"	"0.0005"	"382.5875"	"0.0004"	"250000"	"1.35e+08"	C+	"24.3490398"	"27.5887965"	"4d.6p"	"3P*"	"2"	"4d.6d"	"3D"	"3"	5	7		"T2192"	"L12094"	
Nb	4	"383.1065"	"0.0005"	"383.1060"	"0.0004"	"15000"	"4.3e+06"	D+	"20.5802586"	"23.8156300"	"4d.5d"	"3D"	"2"	"4d.6p"	"1D*"	"2"	5	5		"T2192"	"L12094"	
Nb	4	"385.2873"	"0.0005"	"385.2874"	"0.0005"	"60000"	"1.00e+08"	C+	"24.2292909"	"27.446345"	"4d.6p"	"3P*"	"1"	"4d.6d"	"3D"	"2"	3	5		"T2192"	"L12094"	
Nb	4	"385.5330"	"0.0005"	"385.5325"	"0.0008"	"10000"	"3.3e+07"	C+	"24.7802605"	"27.995270"	"4d.6p"	"1P*"	"1"	"4d.6d"	"3P"	"2"	3	5		"T2192"	"L12094"	
Nb	4	"386.9551"	"0.0005"	"386.9546"	"0.0006"	"8000"	"1.9e+07"	C	"24.3490398"	"27.552234"	"4d.6p"	"3P*"	"2"	"4d.6d"	"1P"	"1"	5	3		"T2192"	"L12094"	
Nb	4	"387.5450"	"0.0005"	"387.5455"	"0.0004"	"100000"	"3.1e+07"	C+	"20.6173200"	"23.8156300"	"4d.5d"	"3G"	"3"	"4d.6p"	"1D*"	"2"	7	5		"T2192"	"L12094"	
Nb	4	"388.2203"	"0.0005"	"388.2203"	"0.0007"	"60000"	"7.8e+07"	C	"24.7802605"	"27.973011"	"4d.6p"	"1P*"	"1"	"4d.6d"	"1S"	"0"	3	1		"T2192"	"L12094"	
Nb	4	"389.8028"	"0.0005"	"389.8028"	"0.0005"	"100000"	"5.8e+07"	C+	"21.049502"	"24.2292909"	"4d.5d"	"3S"	"1"	"4d.6p"	"3P*"	"1"	3	3		"T2192"	"L12094"	
Nb	4	"390.0115"	"0.0005"	"390.0115"	"0.0006"	"25000"	"5.0e+07"	C+	"24.196664"	"27.3747526"	"4d.6p"	"3P*"	"0"	"4d.6d"	"3D"	"1"	1	3		"T2192"	"L12094"	
Nb	4	"391.6920"	"0.0005"	"391.6922"	"0.0005"	"8000"	"4.3e+06"	D+	"21.184436"	"24.3488873"	"4d.5d"	"3F"	"4"	"4d.6p"	"1F*"	"3"	9	7		"T2192"	"L12094"	
Nb	4	"392.1877"	"0.0005"	"392.1878"	"0.0005"	"5000"	"6.5e+06"	D+	"20.7571320"	"23.9175847"	"4d.5d"	"1P"	"1"	"4d.6p"	"3D*"	"1"	3	3		"T2192"	"L12094"	
Nb	4	"394.0565"	"0.0005"	"394.0570"	"0.0004"	"25000"	"5.7e+07"	C+	"24.2292909"	"27.3747526"	"4d.6p"	"3P*"	"1"	"4d.6d"	"3D"	"1"	3	3		"T2192"	"L12094"	
Nb	4	"394.3313"	"0.0005"	"394.3315"	"0.0006"	"20000"	"3.8e+06"	C	"21.091536"	"24.2348082"	"4d.5d"	"3F"	"3"	"4d.6p"	"3F*"	"4"	7	9		"T2192"	"L12094"	
Nb	4	"398.5762"	"0.0005"	"398.5759"	"0.0007"	"5000"	"7.4e+06"	D+	"21.670460"	"24.7802605"	"4d.(2D<3/2>).6s"	"2[3/2]"	"2"	"4d.6p"	"1P*"	"1"	5	3		"T2192"	"L12094"	
Nb	4	"400.1853"	"0.0005"	"400.1839"	"0.0006"	"4000"	"1.07e+07"	C	"24.3490398"	"27.446345"	"4d.6p"	"3P*"	"2"	"4d.6d"	"3D"	"2"	5	5		"T2192"	"L12094"	
Nb	4	"403.2235"	"0.0005"	"403.2233"	"0.0005"	"40000"	"1.5e+07"	C+	"20.9780012"	"24.0519600"	"4d.5d"	"3F"	"2"	"4d.6p"	"3D*"	"2"	5	5		"T2192"	"L12094"	
Nb	4	"404.9979"	"0.0005"	"404.9980"	"0.0005"	"10000"	"2.8e+06"	D+	"20.9780012"	"24.0384903"	"4d.5d"	"3F"	"2"	"4d.6p"	"3F*"	"3"	5	7		"T2192"	"L12094"	
Nb	4	"405.2624"	"0.0005"	"405.2616"	"0.0005"	"15000"	"6.0e+06"	C	"20.7571320"	"23.8156300"	"4d.5d"	"1P"	"1"	"4d.6p"	"1D*"	"2"	3	5		"T2192"	"L12094"	
Nb	4	"406.3413"	"0.0005"	"406.3412"	"0.0006"	"200000"	"4.8e+07"	C+	"21.184436"	"24.2348082"	"4d.5d"	"3F"	"4"	"4d.6p"	"3F*"	"4"	9	9		"T2192"	"L12094"	
Nb	4	"406.4682"	"0.0021"	"406.4694"	"0.0006"	"10000w"	"1.6e+07"	C+	"24.7802605"	"27.829670"	"4d.6p"	"1P*"	"1"	"4d.6d"	"1D"	"2"	3	5		"T2192"	"L12094"	
Nb	4	"409.6533"	"0.0005"	"409.6529"	"0.0005"	"7000"	"5.e+04"	E	"24.3490398"	"27.3747526"	"4d.6p"	"3P*"	"2"	"4d.6d"	"3D"	"1"	5	3		"T2192"	"L12094"	
