element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	5	""	"406.386+"	""	"7.72e+07"	D	"55.53573"	"58.58577"	"3s.5p"	"1P*"	"1"	"3p.4p"	"1S"	"0"	3	1		"T6298c4"	""	
S	2	"406.4404"	"406.4410"	"14"	"8.11e+05"	D+	"13.147810"	"16.197433"	"3s2.3p2.(3P).3d"	"2P"	"1/2"	"3s2.3p2.(3P).4p"	"2D*"	"3/2"	2	4		"T3186c85"	"L5883"	
S	3	"408.7791"	"408.7790"	"4"	"2.99e+05"	D	"17.741777"	"20.773958"	"3s2.3p.3d"	"3P*"	"0"	"3s2.3p.4p"	"1P"	"1"	1	3		"T7942c84"	"L11011"	
S	3	"409.1170"	"409.1191"	"10"	"1.91e+06"	D	"17.744297"	"20.773958"	"3s2.3p.3d"	"3P*"	"1"	"3s2.3p.4p"	"1P"	"1"	3	3		"T7942c84"	"L11011"	
S	3	""	"409.2510+"	""	"1.55e+05"	D	"17.745273"	"20.773958"	"3s2.3p.3d"	"3P*"	"2"	"3s2.3p.4p"	"1P"	"1"	5	3		"T7942c84"	""	
S	3	"409.9143"	"409.9172"	"9"	"4.86e+06"	D	"18.399127"	"21.422890"	"3s2.3p.4s"	"1P*"	"1"	"3s2.3p.4p"	"3P"	"1"	3	3		"T7942c84"	"L11011"	
S	3	"412.5291"	"412.5301"	"5"	"1.12e+06"	D	"18.399127"	"21.403738"	"3s2.3p.4s"	"1P*"	"1"	"3s2.3p.4p"	"3P"	"0"	3	1		"T7942c84"	"L11011"	
S	2	"414.2256"	"414.2259"	"21"	"1.7e+08"	D	"15.848290"	"18.840600"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	"3s2.3p2.(3P).4d"	"4F"	"3/2"	2	4		"T1619CA,LS"	"L5883"	
S	14	""	"414.3+"	""	"5.92e+06"	A	"407.480"	"410.472"	"1s2.3p"	"2P*"	"3/2"	"1s2.3d"	"2D"	"5/2"	4	6		"u32,u30"	""	
S	2	"414.5067"	"414.5060"	"22"	"1.8e+08"	D	"15.867044"	"18.857332"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).4d"	"4F"	"5/2"	4	6		"T1619CA,LS"	"L5883"	
S	2	"414.6910"	"414.6916"	"17"	"2.61e+06"	E'	"17.386317"	"20.375267"	"3s2.3p2.(1D).4p"	"2F*"	"5/2"	"3s2.3p2.(1D).4d"	"2F"	"7/2"	6	8		"u20,LS"	"L5883"	
S	5	""	"414.80+"	""	"3.96e+07"	D	"64.5439"	"67.5321"	"3s.7p"	"3P*"	"2"	"3s.9s"	"3S"	"1"	5	3		"T6298c4,LS"	""	
S	15	""	"414.92+"	""	"3.41e+06"	AA	"[2880.2212]"	"[2883.2085]"	"1s.3p"	"3P*"	"1"	"1s.3d"	"3D"	"2"	3	5		"T7549"	""	
S	1	"415.037"	"415.041"	"1"	"1.44e+06"	E	"6.8601463"	"9.846578"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"0"	3	1		"T7952"	"L7444"	
S	1	"415.2604"	"415.2604"	"50"	"1.48e+06"	D	"6.8601463"	"9.845002"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"1"	3	3		"T7952"	"L5666"	
S	2	"415.3064"	"415.3068"	"23"	"2.0e+08"	D	"15.898891"	"18.883413"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).4d"	"4F"	"7/2"	6	8		"T1619CA,LS"	"L5883"	
S	15	""	"415.51+"	""	"2.11e+06"	AA	"[2880.2212]"	"[2883.2043]"	"1s.3p"	"3P*"	"1"	"1s.3d"	"3D"	"1"	3	3		"T7549"	""	
S	1	"415.7699"	"415.7698"	"25"	"1.59e+06"	D	"6.8601463"	"9.841345"	"3s2.3p3.(4S*).4s"	"3S*"	"1"	"3s2.3p3.(2D*).4p"	"3P"	"2"	3	5		"T7952"	"L5666"	
S	4	""	"416.093+"	""	"1.26e+06"	E	"38.30359"	"41.28247"	"3s.3p.(1P*).4s"	"2P*"	"1/2"	"3s2.7s"	"2S"	"1/2"	2	2		"T6527c4,LS"	""	
S	6	"416.228"	"416.228"	"70bl"	"2.45e+08"	AA	"64.72336"	"67.70127"	"2p6.5p"	"2P*"	"1/2"	"2p6.5d"	"2D"	"3/2"	2	4		"T7942c84"	"L4882"	
S	2	"416.2306"	"416.2305"	"15"	"6.96e+07"	D	"17.397367"	"20.375267"	"3s2.3p2.(1D).4p"	"2F*"	"7/2"	"3s2.3p2.(1D).4d"	"2F"	"7/2"	8	8		"u20,LS"	"L5883"	
S	2	"416.2665"	"416.2665"	"24"	"2.3e+08"	D	"15.944264"	"18.921905"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).4d"	"4F"	"9/2"	8	10		"T1619CA,LS"	"L5883"	
S	2	"416.5100"	"416.5100"	"14"	"8.41e+07"	D	"17.386317"	"20.362218"	"3s2.3p2.(1D).4p"	"2F*"	"5/2"	"3s2.3p2.(1D).4d"	"2F"	"5/2"	6	6		"u20,LS"	"L5883"	
S	2	"416.8370"	"416.8363"	"18*"	"4.55e+07"	E	"17.790362"	"20.763934"	"3s2.3p2.(1D).4p"	"2P*"	"1/2"	"3s2.3p2.(1D).4d"	"2D"	"3/2"	2	4		"u20,LS"	"L5883"	
S	2	"416.8370"	"416.8384"	"18*"	"6.6e+07"	E	"15.867044"	"18.840600"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	"3s2.3p2.(3P).4d"	"4F"	"3/2"	4	4		"T1619CA,LS"	"L5883"	
S	4	""	"417.081+"	""	"2.50e+06"	D	"38.31065"	"41.28247"	"3s.3p.(1P*).4s"	"2P*"	"3/2"	"3s2.7s"	"2S"	"1/2"	4	2		"T6527c4,LS"	""	
S	2	"417.4002"	"417.4002"	"19"	"2.10e+08"	D	"17.386317"	"20.355871"	"3s2.3p2.(1D).4p"	"2F*"	"5/2"	"3s2.3p2.(1D).4d"	"2G"	"7/2"	6	8		"u20,LS"	"L5883"	
S	2	"417.4265"	"417.4265"	"21"	"2.40e+08"	D	"17.397367"	"20.366734"	"3s2.3p2.(1D).4p"	"2F*"	"7/2"	"3s2.3p2.(1D).4d"	"2G"	"9/2"	8	10		"u20,LS"	"L5883"	
S	5	""	"417.719+"	""	"4.97e+07"	D	"60.75236"	"63.71965"	"3s.6p"	"3P*"	"0"	"3s.7s"	"3S"	"1"	1	3		"T6298c4,LS"	""	
S	2	"418.07"	"418.0625"	"1"	"3.40e+06"	E'	"17.397367"	"20.362218"	"3s2.3p2.(1D).4p"	"2F*"	"7/2"	"3s2.3p2.(1D).4d"	"2F"	"5/2"	8	6		"u20,LS"	"L3449"	
S	5	""	"418.100+"	""	"1.49e+08"	D+	"60.75506"	"63.71965"	"3s.6p"	"3P*"	"1"	"3s.7s"	"3S"	"1"	3	3		"T6298c4,LS"	""	
S	2	"418.5917"	"418.5929"	"14"	"5.40e+07"	D	"17.807052"	"20.768145"	"3s2.3p2.(1D).4p"	"2P*"	"3/2"	"3s2.3p2.(1D).4d"	"2D"	"5/2"	4	6		"u20,LS"	"L5883"	
S	2	""	"418.9593"	""	"1.48e+07"	E	"17.397367"	"20.355871"	"3s2.3p2.(1D).4p"	"2F*"	"7/2"	"3s2.3p2.(1D).4d"	"2G"	"7/2"	8	8		"u20,LS"	""	
S	2	"418.9676"	"418.9681"	"18"	"5.7e+07"	E	"15.898891"	"18.857332"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).4d"	"4F"	"5/2"	6	6		"T1619CA,LS"	"L5883"	
S	2	""	"419.1891+"	""	"8.95e+06"	E	"17.807052"	"20.763934"	"3s2.3p2.(1D).4p"	"2P*"	"3/2"	"3s2.3p2.(1D).4d"	"2D"	"3/2"	4	4		"u20,LS"	""	
S	5	""	"419.190+"	""	"2.46e+08"	D+	"60.76277"	"63.71965"	"3s.6p"	"3P*"	"2"	"3s.7s"	"3S"	"1"	5	3		"T6298c4,LS"	""	
S	2	"419.3493"	"419.3486"	"15"	"6.09e+06"	D+	"14.851295"	"17.807052"	"3s.3p4"	"2S"	"1/2"	"3s2.3p2.(1D).4p"	"2P*"	"3/2"	2	4		"T3186c85"	"L5883"	
S	6	"419.890"	"419.889"	"120"	"2.88e+08"	AA	"64.75069"	"67.70264"	"2p6.5p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"5/2"	4	6		"T7942c84"	"L4882"	
S	6	"420.083"	"420.083"	"50"	"4.79e+07"	AA	"64.75069"	"67.70127"	"2p6.5p"	"2P*"	"3/2"	"2p6.5d"	"2D"	"3/2"	4	4		"T7942c84"	"L4882"	
S	2	"421.3517"	"421.3512"	"9"	"4.7e+06"	E	"15.898891"	"18.840600"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	"3s2.3p2.(3P).4d"	"4F"	"3/2"	6	4		"T1619CA,LS"	"L5883"	
S	2	"421.7179"	"421.7182"	"17"	"3.3e+07"	E	"15.944264"	"18.883413"	"3s2.3p2.(3P).4p"	"4D*"	"7/2"	"3s2.3p2.(3P).4d"	"4F"	"7/2"	8	8		"T1619CA,LS"	"L5883"	
S	2	"421.7293"	"421.7299"	"13"	"6.23e+06"	D+	"14.851295"	"17.790362"	"3s.3p4"	"2S"	"1/2"	"3s2.3p2.(1D).4p"	"2P*"	"1/2"	2	2		"T3186c85"	"L5883"	
S	6	""	"421.9+"	""	"3.88e+07"	A	"80.2092"	"83.1470"	"2p6.8d"	"2D"	"3/2"	"2p6.10f"	"2F*"	"5/2"	4	6		"T7942c84"	""	
S	6	""	"421.9+"	""	"2.78e+06"	B+	"80.2092"	"83.1470"	"2p6.8d"	"2D"	"5/2"	"2p6.10f"	"2F*"	"5/2"	6	6		"T7942c84"	""	
S	6	""	"421.9+"	""	"4.16e+07"	A	"80.2092"	"83.1470"	"2p6.8d"	"2D"	"5/2"	"2p6.10f"	"2F*"	"7/2"	6	8		"T7942c84"	""	
S	4	""	"422.91+"	""	"5.29e+07"	D+	"35.35065"	"38.28149"	"3s2.5p"	"2P*"	"1/2"	"3s.3p.(3P*).4p"	"2S"	"1/2"	2	2		"T6527c4,LS"	""	
S	2	"423.0952"	"423.0946"	"17"	"1.18e+08"	D	"17.445679"	"20.375267"	"3s2.3p2.(1D).4p"	"2D*"	"5/2"	"3s2.3p2.(1D).4d"	"2F"	"7/2"	6	8		"u20,LS"	"L5883"	
