element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Co	3	"201.3000"	"0.0004"	"201.3024"	"0.0003"	"170"	"4.5e+07"	D+	"11.271886"	"17.4289975"	"3d6.(1S2).4s"	"a 2S"	"1/2"	"3d6.(3D).4p"	"y 2P*"	"3/2"	2	4		"u37"	"L19543c139,c153"	
Co	3	"201.388151"	"0.000023"	"201.388156"	"0.000017"	"7000"	"2.0e+08"	C+	"9.5979831"	"15.7524744"	"3d6.(3H).4s"	"b 2H"	"11/2"	"3d6.(3H).4p"	"z 2G*"	"9/2"	12	10		"u37"	"L19543c139"	
Co	2	"201.4000"	"0.0012"	"201.39953"	"0.00006"	"290"	"1.5e+06"	E	"3.08552036"	"9.2396640"	"3d7.(2P).4s"	"c 3P"	"2"	"3d7.(2D2).4p"	"y 1P*"	"1"	5	3		"T6999"	"L4687c119"	
Co	2	"201.44395"	"0.00013"	"201.443891"	"0.000021"	"390"	"1.2e+06"	D	"7.61117297"	"13.7639617"	"3d7.(4P).4p"	"y 5D*"	"4"	"3d7.(4F).5d"	"5F"	"5"	9	11		"T6999"	"L9429c118"	
Co	2	"201.5704"	"0.0012"	"201.570260"	"0.000013"	"410"	"3.1e+06"	D	"2.77903526"	"8.92796723"	"3d7.(2G).4s"	"a 3G"	"3"	"3d7.(2H).4p"	"y 3H*"	"4"	7	9		"T6999"	"L4687c119"	
Co	3	"201.58069"	"0.00010"	"201.58077"	"0.00005"	"960"	"1.5e+07"	D+	"6.9894783"	"13.1380897"	"3d6.(5D).4s"	"a 4D"	"5/2"	"3d6.(5D).4p"	"z 6P*"	"5/2"	6	6		"u37"	"L19543c139"	
Co	3	"201.58906"	"0.00019"	"201.58855"	"0.00005"	"88"	"5.3e+06"	D+	"9.5210695"	"15.6694437"	"3d6.(3P2).4s"	"b 2P"	"3/2"	"3d6.(3P2).4p"	"y 4P*"	"3/2"	4	4		"u37"	"L19543c139,c153"	
Co	3	"201.60218"	"0.00015"	"201.60221"	"0.00005"	"610"	"1.0e+07"	D+	"9.5979831"	"15.7459406"	"3d6.(3H).4s"	"b 2H"	"11/2"	"3d6.(3F2).4p"	"y 4F*"	"9/2"	12	10		"u37"	"L19543c139"	
Co	3	"201.6772"	"0.0005"	"201.67524"	"0.00007"	"58"	"4.8e+06"	D+	"10.2809987"	"16.4267306"	"3d6.(3G).4s"	"b 2G"	"7/2"	"3d6.(3G).4p"	"x 4F*"	"5/2"	8	6		"u37"	"L19543c140"	
Co	3	"201.7302"	"0.0005"	"201.72866"	"0.00007"	"100"	"1.6e+06"	D	"7.0716983"	"13.2158028"	"3d6.(5D).4s"	"a 4D"	"1/2"	"3d6.(5D).4p"	"z 6P*"	"3/2"	2	4		"u37"	"L19543c140,c153"	
Co	3	"201.8920"	"0.0005"	"201.89190"	"0.00006"	"97"	"3.1e+06"	D	"9.6054941"	"15.7446314"	"3d6.(3G).4s"	"a 4G"	"5/2"	"3d6.(3F2).4p"	"y 4F*"	"3/2"	6	4		"u37"	"L19543c140"	
Co	3	"201.9178"	"0.0005"	"201.91776"	"0.00005"	"32bl(Co II)"	"1.2e+06"	D+	"9.5944297"	"15.7327809"	"3d6.(3G).4s"	"a 4G"	"7/2"	"3d6.(3F2).4p"	"y 4F*"	"7/2"	8	8		"u37"	"L19543c140,c153"	
Co	3	"201.9411"	"0.0003"	"201.9411"	"0.0003"	"1200"	"2.1e+08"	C+	"13.2095945"	"19.347237"	"3d6.(3F1).4s"	"c 4F"	"9/2"	"3d6.(3F1).4p"	"u 4D*"	"7/2"	10	8		"u37"	"L19543c139"	
Co	2	"201.9861"	"0.0012"	"201.985279"	"0.000013"	"280"	"7.e+05"	E	"2.23561202"	"8.37191162"	"3d7.(4P).4s"	"a 5P"	"2"	"3d7.(2P).4p"	"x 3D*"	"3"	5	7		"T6999"	"L4687c119"	
