element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	1	""	"208.6747"	""	"3.26e+04"	E	"0.7809579"	"6.7205746"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"2"	5	5		"T8363c22,T5071"	""	
Si	1	""	"208.7611"	""	"5.46e+05"	E	"0.7809579"	"6.7181165"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"3D*"	"1"	5	3		"T8363c22,T5071"	""	
Si	6	""	"209.07"	""	"1.58e+04"	D	"140.6596"	"146.5879"	"2s2.2p4.(1D).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"3/2"	6	4		"c44"	""	
Si	6	""	"210.16"	""	"1.56e+01"	E	"140.6081"	"146.5058"	"2s2.2p4.(1D).3p"	"2D*"	"3/2"	"2s2.2p4.(3P).3d"	"4D"	"5/2"	4	6		"c44"	""	
Si	6	""	"212.01"	""	"1.99e+04"	D	"140.6596"	"146.5058"	"2s2.2p4.(1D).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"5/2"	6	6		"c44"	""	
Si	4	"212.018"	"212.0171"	"3"	"3.06e+08"	A+	"27.061642"	"32.907632"	"2p6.4p"	"2P*"	"1/2"	"2p6.5s"	"2S"	"1/2"	2	2		"c33"	"L6098"	
Si	1	""	"212.2990"	""	"3.57e+07"	B	"0.7809579"	"6.6191858"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"1P*"	"1"	5	3		"T5814"	""	
Si	1	"212.412"	"212.4122"	"100"	"2.97e+08"	B	"0.7809579"	"6.616075"	"3s2.3p2"	"1D"	"2"	"3s2.3p.3d"	"1F*"	"3"	5	7		"T5814"	"L3521"	
Si	11	""	"212.65"	""	"3.54e+06"	B	"283.309"	"289.137"	"1s2.2s.3p"	"1P*"	"1"	"1s2.2s.3d"	"3D"	"2"	3	5		"T7333c7"	""	
Si	4	"212.747"	"212.7473"	"4"	"6.14e+08"	A+	"27.081704"	"32.907632"	"2p6.4p"	"2P*"	"3/2"	"2p6.5s"	"2S"	"1/2"	4	2		"c33"	"L6098"	
Si	6	""	"214.20"	""	"7.96e+02"	E	"140.6596"	"146.4460"	"2s2.2p4.(1D).3p"	"2D*"	"5/2"	"2s2.2p4.(3P).3d"	"4D"	"7/2"	6	8		"c44"	""	
Si	11	""	"214.34"	""	"5.21e+06"	C	"311.216"	"316.999"	"1s2.2p.3p"	"3P"	"1"	"1s2.2p.3d"	"3P*"	"2"	3	5		"T5633c4,LS"	""	
Si	6	""	"215.33"	""	"7.49e+04"	D+	"142.3216"	"148.0777"	"2s2.2p4.(1D).3p"	"2P*"	"3/2"	"2s2.2p4.(3P).3d"	"4F"	"3/2"	4	4		"c44"	""	
Si	3	""	"216.5537"	""	"4.47e+05"	D	"24.663327"	"30.386863"	"3p.3d"	"3F*"	"2"	"3p.4p"	"3D"	"3"	5	7		"T6298c4,LS"	""	
Si	3	""	"217.0396"	""	"1.57e+07"	C	"24.676140"	"30.386863"	"3p.3d"	"3F*"	"3"	"3p.4p"	"3D"	"3"	7	7		"T6298c4,LS"	""	
Si	3	""	"217.1559"	""	"7.01e+07"	C	"25.333789"	"31.041455"	"3s.4d"	"1D"	"2"	"3s.7f"	"1F*"	"3"	5	7		"T6298c4"	""	
Si	3	""	"217.5933"	""	"2.18e+07"	C	"24.663327"	"30.359521"	"3p.3d"	"3F*"	"2"	"3p.4p"	"3D"	"2"	5	5		"T6298c4,LS"	""	
Si	3	"217.689"	"217.6901"	"5"	"1.80e+08"	B	"24.693201"	"30.386863"	"3p.3d"	"3F*"	"4"	"3p.4p"	"3D"	"3"	9	7		"T6298c4,LS"	"L4833"	
Si	11	""	"218.03"	""	"8.25e+06"	C	"311.495"	"317.180"	"1s2.2p.3p"	"3P"	"2"	"1s2.2p.3d"	"3P*"	"1"	5	3		"T5633c4,LS"	""	
Si	3	""	"218.0839"	""	"1.73e+08"	B	"24.676140"	"30.359521"	"3p.3d"	"3F*"	"3"	"3p.4p"	"3D"	"2"	7	5		"T6298c4,LS"	""	
Si	3	""	"218.2066"	""	"1.95e+08"	C+	"24.663327"	"30.343512"	"3p.3d"	"3F*"	"2"	"3p.4p"	"3D"	"1"	5	3		"T6298c4,LS"	""	
Si	3	""	"219.1939"	""	"1.30e+07"	D	"25.420367"	"31.074972"	"3p.3d"	"1D*"	"2"	"3s.7d"	"1D"	"2"	5	5		"T6298c4"	""	
Si	6	""	"220.29"	""	"2.49e+05"	B	"129.1191"	"134.7455"	"2s2.2p4.(1D).3s"	"2D"	"5/2"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	6	6		"c44"	""	
Si	6	""	"220.56"	""	"6.85e+03"	C+	"129.1261"	"134.7455"	"2s2.2p4.(1D).3s"	"2D"	"3/2"	"2s2.2p4.(3P).3p"	"2D*"	"5/2"	4	6		"c44"	""	
Si	6	""	"220.57"	""	"2.71e+05"	C	"142.3216"	"147.9408"	"2s2.2p4.(1D).3p"	"2P*"	"3/2"	"2s2.2p4.(3P).3d"	"4F"	"5/2"	4	6		"c44"	""	
Si	1	"220.798"	"220.7978"	"110"	"2.62e+07"	B	"0.0000000"	"5.6135319"	"3s2.3p2"	"3P"	"0"	"3s.3p3"	"3D*"	"1"	1	3		"T5814"	"L3521"	
Si	1	"221.089"	"221.0892"	"115"	"3.46e+07"	B	"0.0095610"	"5.6156943"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3D*"	"2"	3	5		"T5814"	"L3521"	
Si	1	"221.174"	"221.1745"	"110"	"1.81e+07"	B	"0.0095610"	"5.6135319"	"3s2.3p2"	"3P"	"1"	"3s.3p3"	"3D*"	"1"	3	3		"T5814"	"L3521"	
Si	4	""	"221.5669"	""	"6.88e+07"	B+	"36.141084"	"41.735133"	"2p6.5d"	"2D"	"3/2"	"2p6.8f"	"2F*"	"5/2"	4	6		"c33"	""	
Si	4	""	"221.5673"	""	"7.37e+07"	B+	"36.141096"	"41.735133"	"2p6.5d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"7/2"	6	8		"c33"	""	
Si	4	""	"221.5673"	""	"4.91e+06"	B	"36.141096"	"41.735133"	"2p6.5d"	"2D"	"5/2"	"2p6.8f"	"2F*"	"5/2"	6	6		"c33"	""	
