element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
F	5	""	""	"305.58"	""	"1.0e+07"	B	"89.1063"	"93.1625"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	"2s.2p.(1P*).3p"	"2D"	"3/2"	2	4		"T7192c91,LS"	""	
F	6	""	""	"307.21"	""	"1.44e+07"	B	"111.7587"	"115.7934"	"1s2.2p.3p"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"3"	7	7		"T5633c91,LS"	""	
F	6	""	""	"309.31"	""	"2.48e+06"	B	"111.7587"	"115.7660"	"1s2.2p.3p"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"2"	7	5		"T5633c91,LS"	""	
F	5	""	""	"310.05"	""	"5.5e+07"	B	"93.1625"	"97.1602"	"2s.2p.(1P*).3p"	"2D"	"3/2"	"2s.2p.(1P*).3d"	"2F*"	"5/2"	4	6		"T7192c91,LS"	""	
F	5	""	""	"310.49"	""	"5.9e+07"	B	"93.1682"	"97.1602"	"2s.2p.(1P*).3p"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"7/2"	6	8		"T7192c91,LS"	""	
F	5	""	""	"310.49"	""	"3.9e+06"	B	"93.1682"	"97.1602"	"2s.2p.(1P*).3p"	"2D"	"5/2"	"2s.2p.(1P*).3d"	"2F*"	"5/2"	6	6		"T7192c91,LS"	""	
F	3	"311.362"	"0.010"	"311.3606"	"140"	"6.7e+07"	D	"39.267012"	"43.247871"	"2s2.2p2.(3P).3s"	"4P"	"1/2"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	2	4		"T1115CA,LS"	"L767"	
F	3	"311.570"	"0.010"	"311.5695"	"160"	"1.1e+08"	D	"39.293195"	"43.271384"	"2s2.2p2.(3P).3s"	"4P"	"3/2"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	4	6		"T1115CA,LS"	"L767"	
F	3	"312.154"	"0.010"	"312.1536"	"180"	"1.6e+08"	D	"39.332743"	"43.303490"	"2s2.2p2.(3P).3s"	"4P"	"5/2"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	6	8		"T1115CA,LS"	"L767"	
F	3	"312.479"	"0.010"	"312.4779"	"140"	"1.3e+08"	D	"39.267012"	"43.233637"	"2s2.2p2.(3P).3s"	"4P"	"1/2"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	2	2		"T1115CA,LS"	"L767"	
F	7	""	""	"313.27"	""	"1.17e+07"	A	"174.6749"	"178.631"	"1s2.8p"	"2P*"	"3/2"	"1s2.10d"	"2D"	"3/2"	4	4		"T7495"	""	
F	7	""	""	"313.27"	""	"7.02e+07"	A	"174.6749"	"178.631"	"1s2.8p"	"2P*"	"3/2"	"1s2.10d"	"2D"	"5/2"	4	6		"T7495"	""	
F	7	""	""	"313.27"	""	"5.83e+07"	A	"174.6749"	"178.631"	"1s2.8p"	"2P*"	"1/2"	"1s2.10d"	"2D"	"3/2"	2	4		"T7495"	""	
F	3	"313.423"	"0.010"	"313.4221"	"140"	"8.4e+07"	D	"39.293195"	"43.247871"	"2s2.2p2.(3P).3s"	"4P"	"3/2"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	4	4		"T1115CA,LS"	"L767"	
F	3	""	""	"314.2779"	""	"1.16e+08"	C	"47.654385"	"51.598293"	"2s2.2p2.(1D).3p"	"2P*"	"1/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"	2	4		"T1115CA,LS"	""	
F	3	""	""	"314.5543"	""	"2.6e+07"	D	"39.293195"	"43.233637"	"2s2.2p2.(3P).3s"	"4P"	"3/2"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	4	2		"T1115CA,LS"	""	
F	3	"314.699"	"0.010"	"314.6982"	"140"	"4.7e+07"	D	"39.332743"	"43.271384"	"2s2.2p2.(3P).3s"	"4P"	"5/2"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	6	6		"T1115CA,LS"	"L767"	
F	3	""	""	"315.4421"	""	"1.38e+08"	C	"47.671064"	"51.600416"	"2s2.2p2.(1D).3p"	"2P*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"5/2"	4	6		"T1115CA,LS"	""	
F	3	""	""	"315.6126"	""	"2.30e+07"	C	"47.671064"	"51.598293"	"2s2.2p2.(1D).3p"	"2P*"	"3/2"	"2s2.2p2.(1D).3d"	"2D"	"3/2"	4	4		"T1115CA,LS"	""	
F	3	""	""	"316.5883"	""	"7.7e+06"	D	"39.332743"	"43.247871"	"2s2.2p2.(3P).3s"	"4P"	"5/2"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	6	4		"T1115CA,LS"	""	
F	3	"317.417"	"0.010"	"317.4179"	"180"	"1.7e+08"	D	"40.279580"	"44.184474"	"2s2.2p2.(3P).3s"	"2P"	"3/2"	"2s2.2p2.(3P).3p"	"2D*"	"5/2"	4	6		"T1115CA,LS"	"L767"	
F	3	"317.476"	"0.010"	"317.4758"	"170"	"1.4e+08"	D	"40.231949"	"44.136131"	"2s2.2p2.(3P).3s"	"2P"	"1/2"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"	2	4		"T1115CA,LS"	"L767"	
F	5	""	""	"319.59"	""	"1.83e+07"	B	"88.3704"	"92.2487"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s2.4d"	"2D"	"5/2"	4	6		"T7192c91,LS"	""	
F	5	""	""	"319.86"	""	"3.0e+06"	B	"88.3704"	"92.2455"	"2s.2p.(1P*).3s"	"2P*"	"3/2"	"2s2.4d"	"2D"	"3/2"	4	4		"T7192c91,LS"	""	
F	5	""	""	"319.86"	""	"1.52e+07"	B	"88.3704"	"92.2455"	"2s.2p.(1P*).3s"	"2P*"	"1/2"	"2s2.4d"	"2D"	"3/2"	2	4		"T7192c91,LS"	""	
F	2	"320.276"	"0.010"	"320.2761"	"170"	"1.4e+08"	D	"26.665231"	"30.535278"	"2s2.2p3.(2D*).3s"	"1D*"	"2"	"2s2.2p3.(2D*).3p"	"1D"	"2"	5	5		"T1115CA"	"L369"	
F	3	"321.400"	"0.010"	"321.3970"	"120"	"2.7e+07"	D	"40.279580"	"44.136131"	"2s2.2p2.(3P).3s"	"2P"	"3/2"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"	4	4		"T1115CA,LS"	"L767"	
F	5	""	""	"323.69"	""	"4.9e+07"	B	"85.2771"	"89.1063"	"2s.2p.(3P*).3p"	"2S"	"1/2"	"2s.2p.(3P*).3d"	"2P*"	"1/2"	2	2		"T7192c91,LS"	""	
F	7	""	""	"324.66"	""	"6.1e+07"	B	"105.9595"	"109.7773"	"1s2.3s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"3/2"	2	4		"u32"	""	
F	5	""	""	"326.00"	""	"4.8e+07"	B	"85.2771"	"89.0792"	"2s.2p.(3P*).3p"	"2S"	"1/2"	"2s.2p.(3P*).3d"	"2P*"	"3/2"	2	4		"T7192c91,LS"	""	
F	7	""	""	"327.70"	""	"5.9e+07"	B	"105.9595"	"109.7419"	"1s2.3s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"1/2"	2	2		"u32"	""	
F	7	""	""	"329.28"	""	"3.00e+07"	A	"174.7643"	"178.529"	"1s2.8d"	"2D"	"5/2"	"1s2.10p"	"2P*"	"3/2"	6	4		"T7495"	""	
F	7	""	""	"329.28"	""	"3.33e+06"	A	"174.7643"	"178.529"	"1s2.8d"	"2D"	"3/2"	"1s2.10p"	"2P*"	"3/2"	4	4		"T7495"	""	
F	7	""	""	"329.28"	""	"3.35e+07"	A	"174.7643"	"178.529"	"1s2.8d"	"2D"	"3/2"	"1s2.10p"	"2P*"	"1/2"	4	2		"T7495"	""	
F	6	""	""	"337.36"	""	"4.4e+07"	B	"112.7396"	"116.4136"	"1s2.2p.3p"	"3S"	"1"	"1s2.2p.3d"	"3P*"	"0"	3	1		"T5633c91,LS"	""	
F	6	""	""	"338.98"	""	"4.3e+07"	B	"112.7396"	"116.3961"	"1s2.2p.3p"	"3S"	"1"	"1s2.2p.3d"	"3P*"	"1"	3	3		"T5633c91,LS"	""	
F	6	""	""	"340.57"	""	"4.6e+07"	B	"108.0444"	"111.6839"	"1s2.2p.3s"	"3P*"	"1"	"1s2.2p.3p"	"3D"	"2"	3	5		"T5633c91,LS"	""	
F	6	""	""	"341.07"	""	"6.1e+07"	B	"108.1246"	"111.7587"	"1s2.2p.3s"	"3P*"	"2"	"1s2.2p.3p"	"3D"	"3"	5	7		"T5633c91,LS"	""	
F	6	""	""	"341.25"	""	"3.4e+07"	B	"108.008"	"111.6398"	"1s2.2p.3s"	"3P*"	"0"	"1s2.2p.3p"	"3D"	"1"	1	3		"T5633c91,LS"	""	
F	6	""	""	"342.09"	""	"4.2e+07"	B	"112.7396"	"116.363"	"1s2.2p.3p"	"3S"	"1"	"1s2.2p.3d"	"3P*"	"2"	3	5		"T5633c91,LS"	""	
F	6	""	""	"344.74"	""	"2.47e+07"	B	"108.0444"	"111.6398"	"1s2.2p.3s"	"3P*"	"1"	"1s2.2p.3p"	"3D"	"1"	3	3		"T5633c91,LS"	""	
